#Written by pole_map_weight_distributions_for_cuts_08jun19.py. 
#Maps created using configuration file 
#   /software/spt3g_software_onlinemaps/spt3g/std_processing/mapmakers/pole_autoproc_config.yaml,
# with code at git hash ed461fbecdab3740b6e8249866e08cdd03c76094.
#
# Field    Band [GHz]   ObsId    Weight*RMS^2 
ra0hdec-59.75    90   76384003    8.28481
ra0hdec-59.75    90   76392886    8.23669
ra0hdec-59.75    90   76401669    8.19533
ra0hdec-59.75    90   76533041    8.12658
ra0hdec-59.75    90   76541953    8.19593
ra0hdec-59.75    90   76550821    8.18525
ra0hdec-59.75   150   74809520    7.91950
ra0hdec-59.75   150   74818432    8.04229
ra0hdec-59.75   150   74827301    8.11053
ra0hdec-59.75   150   74941568    8.25621
ra0hdec-59.75   150   74950351    8.02199
ra0hdec-59.75   150   74959158    8.06490
ra0hdec-59.75   150   75085245    8.18253
ra0hdec-59.75   150   75094128    8.17961
ra0hdec-59.75   150   75103010    8.21852
ra0hdec-59.75   150   75229218    7.97212
ra0hdec-59.75   150   75238130    7.94845
ra0hdec-59.75   150   75247042    8.11352
ra0hdec-59.75   150   75387877    8.21151
ra0hdec-59.75   150   75396685    8.53297
ra0hdec-59.75   150   75405467    8.38706
ra0hdec-59.75   150   75521793    8.33093
ra0hdec-59.75   150   75530675    8.22576
ra0hdec-59.75   150   75539457    8.27241
ra0hdec-59.75   150   75665489    8.33544
ra0hdec-59.75   150   75674401    8.29714
ra0hdec-59.75   150   75683195    8.27522
ra0hdec-59.75   150   75811894    8.37671
ra0hdec-59.75   150   75820702    8.36958
ra0hdec-59.75   150   75829509    8.49798
ra0hdec-59.75   150   75964508    9.10316
ra0hdec-59.75   150   75973289   12.80064
ra0hdec-59.75   150   75982072   12.29870
ra0hdec-59.75   150   76096150    8.12021
ra0hdec-59.75   150   76105063    8.26965
ra0hdec-59.75   150   76113857    8.10850
ra0hdec-59.75   150   76240281    8.27572
ra0hdec-59.75   150   76249089    8.38018
ra0hdec-59.75   150   76257897    8.40510
ra0hdec-59.75   150   76384003    8.29372
ra0hdec-59.75   150   76392886    8.31310
ra0hdec-59.75   150   76401669    8.26642
ra0hdec-59.75   150   76533041    7.94760
ra0hdec-59.75   150   76541953    7.89834
ra0hdec-59.75   150   76550821    8.08525
ra0hdec-59.75   150   76669544    7.99287
ra0hdec-59.75   220   74809520    8.56207
ra0hdec-59.75   220   74818432    8.67359
ra0hdec-59.75   220   74827301    8.60336
ra0hdec-59.75   220   74941568    8.72517
ra0hdec-59.75   220   74950351    8.59142
ra0hdec-59.75   220   74959158    8.65567
ra0hdec-59.75   220   75085245    8.75865
ra0hdec-59.75   220   75094128    8.75831
ra0hdec-59.75   220   75103010    9.58230
ra0hdec-59.75   220   75229218    8.67357
ra0hdec-59.75   220   75238130    8.56479
ra0hdec-59.75   220   75247042    8.63044
ra0hdec-59.75   220   75387877    8.78316
ra0hdec-59.75   220   75396685    9.01412
ra0hdec-59.75   220   75405467    8.98332
ra0hdec-59.75   220   75521793    8.89384
ra0hdec-59.75   220   75530675    8.75426
ra0hdec-59.75   220   75539457    8.74000
ra0hdec-59.75   220   75665489    8.81437
ra0hdec-59.75   220   75674401    8.70739
ra0hdec-59.75   220   75683195    8.76338
ra0hdec-59.75   220   75811894    8.86421
ra0hdec-59.75   220   75820702    8.82179
ra0hdec-59.75   220   75829509    9.01170
ra0hdec-59.75   220   75964508    9.03380
ra0hdec-59.75   220   75973289   12.01350
ra0hdec-59.75   220   75982072   11.78677
ra0hdec-59.75   220   76096150    8.65724
ra0hdec-59.75   220   76105063    8.81389
ra0hdec-59.75   220   76113857    8.67458
ra0hdec-59.75   220   76240281    8.76288
ra0hdec-59.75   220   76249089    8.80754
ra0hdec-59.75   220   76257897    8.87396
ra0hdec-59.75   220   76384003    8.75339
ra0hdec-59.75   220   76392886    8.80132
ra0hdec-59.75   220   76401669    8.77696
ra0hdec-59.75   220   76533041    8.30594
ra0hdec-59.75   220   76541953    8.35166
ra0hdec-59.75   220   76550821    8.36970
ra0hdec-67.25    90   74838861    8.14875
ra0hdec-67.25    90   74970616    8.16024
ra0hdec-67.25    90   74979545    8.17561
ra0hdec-67.25    90   74988458    8.09052
ra0hdec-67.25    90   75114461    8.03680
ra0hdec-67.25    90   75123245    8.19262
ra0hdec-67.25    90   75132054    8.14784
ra0hdec-67.25    90   75258549    8.14426
ra0hdec-67.25    90   75267433    8.19612
ra0hdec-67.25    90   75276316    8.21793
ra0hdec-67.25    90   75417040    8.10482
ra0hdec-67.25    90   75425835    8.16417
ra0hdec-67.25    90   75550908    8.19635
ra0hdec-67.25    90   75559694    8.16477
ra0hdec-67.25    90   75568504    8.22809
ra0hdec-67.25    90   75694742    8.17380
ra0hdec-67.25    90   75703625    8.12970
ra0hdec-67.25    90   75712409    8.15243
ra0hdec-67.25    90   75841100    8.16890
ra0hdec-67.25    90   75850013    8.93769
ra0hdec-67.25    90   75993535    8.18425
ra0hdec-67.25    90   76002344    8.21198
ra0hdec-67.25    90   76125456    8.23245
ra0hdec-67.25    90   76134340    8.14748
ra0hdec-67.25    90   76143123    8.16429
ra0hdec-67.25    90   76269435    8.20495
ra0hdec-67.25    90   76278348    8.06746
ra0hdec-67.25    90   76287145    8.09592
ra0hdec-67.25    90   76413092    8.15270
ra0hdec-67.25    90   76421902    8.09094
ra0hdec-67.25    90   76430712    8.18439
ra0hdec-67.25    90   76562350    8.15747
ra0hdec-67.25    90   76571133    8.11862
ra0hdec-67.25   150   74838861    8.40806
ra0hdec-67.25   150   74970616    8.22777
ra0hdec-67.25   150   74979545    8.19003
ra0hdec-67.25   150   74988458    8.15855
ra0hdec-67.25   150   75114461    8.24558
ra0hdec-67.25   150   75123245    8.25462
ra0hdec-67.25   150   75132054    8.21358
ra0hdec-67.25   150   75258549    8.12787
ra0hdec-67.25   150   75267433    8.13612
ra0hdec-67.25   150   75276316   10.00166
ra0hdec-67.25   150   75417040    8.35447
ra0hdec-67.25   150   75425835    8.41153
ra0hdec-67.25   150   75550908    8.29521
ra0hdec-67.25   150   75559694    8.31581
ra0hdec-67.25   150   75568504    8.32974
ra0hdec-67.25   150   75694742    8.31450
ra0hdec-67.25   150   75703625    8.28407
ra0hdec-67.25   150   75712409    9.10624
ra0hdec-67.25   150   75841100    8.55470
ra0hdec-67.25   150   75850013    9.36537
ra0hdec-67.25   150   75993535    8.34640
ra0hdec-67.25   150   76002344    8.48854
ra0hdec-67.25   150   76125456    9.06920
ra0hdec-67.25   150   76134340   10.73629
ra0hdec-67.25   150   76143123    8.49411
ra0hdec-67.25   150   76269435    8.34574
ra0hdec-67.25   150   76278348    8.32512
ra0hdec-67.25   150   76287145    8.32767
ra0hdec-67.25   150   76413092    8.28405
ra0hdec-67.25   150   76421902    8.30898
ra0hdec-67.25   150   76430712    8.37109
ra0hdec-67.25   150   76562350    8.69723
ra0hdec-67.25   150   76571133    8.47609
ra0hdec-67.25   220   74838861    8.56869
ra0hdec-67.25   220   74970616    8.48880
ra0hdec-67.25   220   74979545    8.41678
ra0hdec-67.25   220   74988458    8.39380
ra0hdec-67.25   220   75114461    8.49884
ra0hdec-67.25   220   75123245    8.52150
ra0hdec-67.25   220   75132054    8.45983
ra0hdec-67.25   220   75258549    8.38566
ra0hdec-67.25   220   75267433    8.43577
ra0hdec-67.25   220   75276316   10.27711
ra0hdec-67.25   220   75417040    8.52170
ra0hdec-67.25   220   75425835    8.51601
ra0hdec-67.25   220   75550908    8.44344
ra0hdec-67.25   220   75559694    8.47229
ra0hdec-67.25   220   75568504    8.48348
ra0hdec-67.25   220   75694742    8.47572
ra0hdec-67.25   220   75703625    8.49126
ra0hdec-67.25   220   75712409    9.22261
ra0hdec-67.25   220   75841100    8.73683
ra0hdec-67.25   220   75850013    9.79515
ra0hdec-67.25   220   75993535    8.60946
ra0hdec-67.25   220   76002344    8.67726
ra0hdec-67.25   220   76125456    9.09540
ra0hdec-67.25   220   76134340   10.30819
ra0hdec-67.25   220   76143123    8.69668
ra0hdec-67.25   220   76269435    8.47916
ra0hdec-67.25   220   76278348    8.45186
ra0hdec-67.25   220   76287145    8.47444
ra0hdec-67.25   220   76413092    8.43215
ra0hdec-67.25   220   76421902    8.45284
ra0hdec-67.25   220   76430712    8.50452
ra0hdec-67.25   220   76562350    8.74029
ra0hdec-67.25   220   76571133    8.51059
