#    L    TT             EE             BB             TE             PP             TP             EP
   130    0.36915E+04    0.10837E+01    0.00000E+00   -0.40733E+02    0.84500E-07    0.27190E-03   -0.13280E-05
   131    0.37261E+04    0.10882E+01    0.00000E+00   -0.41166E+02    0.83991E-07    0.26924E-03   -0.13225E-05
   132    0.37607E+04    0.10922E+01    0.00000E+00   -0.41583E+02    0.83486E-07    0.26662E-03   -0.13166E-05
   133    0.37953E+04    0.10957E+01    0.00000E+00   -0.41985E+02    0.82985E-07    0.26403E-03   -0.13103E-05
   134    0.38299E+04    0.10988E+01    0.00000E+00   -0.42369E+02    0.82488E-07    0.26148E-03   -0.13037E-05
   135    0.38645E+04    0.11014E+01    0.00000E+00   -0.42737E+02    0.81995E-07    0.25898E-03   -0.12965E-05
   136    0.38990E+04    0.11035E+01    0.00000E+00   -0.43085E+02    0.81506E-07    0.25650E-03   -0.12889E-05
   137    0.39335E+04    0.11051E+01    0.00000E+00   -0.43416E+02    0.81021E-07    0.25406E-03   -0.12808E-05
   138    0.39680E+04    0.11061E+01    0.00000E+00   -0.43729E+02    0.80540E-07    0.25166E-03   -0.12722E-05
   139    0.40023E+04    0.11068E+01    0.00000E+00   -0.44021E+02    0.80063E-07    0.24928E-03   -0.12629E-05
   140    0.40366E+04    0.11069E+01    0.00000E+00   -0.44295E+02    0.79590E-07    0.24694E-03   -0.12531E-05
   141    0.40708E+04    0.11065E+01    0.00000E+00   -0.44548E+02    0.79120E-07    0.24463E-03   -0.12426E-05
   142    0.41049E+04    0.11056E+01    0.00000E+00   -0.44781E+02    0.78655E-07    0.24235E-03   -0.12317E-05
   143    0.41390E+04    0.11042E+01    0.00000E+00   -0.44994E+02    0.78193E-07    0.24010E-03   -0.12202E-05
   144    0.41729E+04    0.11024E+01    0.00000E+00   -0.45185E+02    0.77735E-07    0.23788E-03   -0.12082E-05
   145    0.42067E+04    0.11001E+01    0.00000E+00   -0.45354E+02    0.77281E-07    0.23569E-03   -0.11959E-05
   146    0.42406E+04    0.10973E+01    0.00000E+00   -0.45502E+02    0.76831E-07    0.23352E-03   -0.11831E-05
   147    0.42740E+04    0.10941E+01    0.00000E+00   -0.45626E+02    0.76384E-07    0.23139E-03   -0.11699E-05
   148    0.43074E+04    0.10903E+01    0.00000E+00   -0.45729E+02    0.75941E-07    0.22928E-03   -0.11565E-05
   149    0.43407E+04    0.10861E+01    0.00000E+00   -0.45808E+02    0.75502E-07    0.22720E-03   -0.11427E-05
   150    0.43737E+04    0.10816E+01    0.00000E+00   -0.45861E+02    0.75067E-07    0.22515E-03   -0.11287E-05
   151    0.44065E+04    0.10765E+01    0.00000E+00   -0.45892E+02    0.74635E-07    0.22312E-03   -0.11145E-05
   152    0.44391E+04    0.10710E+01    0.00000E+00   -0.45899E+02    0.74206E-07    0.22112E-03   -0.11000E-05
   153    0.44715E+04    0.10651E+01    0.00000E+00   -0.45879E+02    0.73782E-07    0.21914E-03   -0.10855E-05
   154    0.45037E+04    0.10588E+01    0.00000E+00   -0.45836E+02    0.73360E-07    0.21719E-03   -0.10708E-05
   155    0.45356E+04    0.10521E+01    0.00000E+00   -0.45767E+02    0.72943E-07    0.21526E-03   -0.10561E-05
   156    0.45672E+04    0.10451E+01    0.00000E+00   -0.45673E+02    0.72529E-07    0.21336E-03   -0.10413E-05
   157    0.45987E+04    0.10377E+01    0.00000E+00   -0.45553E+02    0.72118E-07    0.21148E-03   -0.10265E-05
   158    0.46299E+04    0.10300E+01    0.00000E+00   -0.45407E+02    0.71711E-07    0.20962E-03   -0.10117E-05
   159    0.46608E+04    0.10218E+01    0.00000E+00   -0.45236E+02    0.71307E-07    0.20779E-03   -0.99706E-06
   160    0.46914E+04    0.10133E+01    0.00000E+00   -0.45037E+02    0.70906E-07    0.20597E-03   -0.98248E-06
   161    0.47218E+04    0.10047E+01    0.00000E+00   -0.44813E+02    0.70509E-07    0.20418E-03   -0.96804E-06
   162    0.47519E+04    0.99560E+00    0.00000E+00   -0.44563E+02    0.70115E-07    0.20241E-03   -0.95378E-06
   163    0.47818E+04    0.98624E+00    0.00000E+00   -0.44285E+02    0.69725E-07    0.20066E-03   -0.93973E-06
   164    0.48113E+04    0.97666E+00    0.00000E+00   -0.43982E+02    0.69337E-07    0.19893E-03   -0.92593E-06
   165    0.48406E+04    0.96678E+00    0.00000E+00   -0.43651E+02    0.68953E-07    0.19722E-03   -0.91240E-06
   166    0.48696E+04    0.95675E+00    0.00000E+00   -0.43293E+02    0.68572E-07    0.19553E-03   -0.89913E-06
   167    0.48983E+04    0.94635E+00    0.00000E+00   -0.42909E+02    0.68195E-07    0.19385E-03   -0.88610E-06
   168    0.49266E+04    0.93595E+00    0.00000E+00   -0.42498E+02    0.67820E-07    0.19220E-03   -0.87328E-06
   169    0.49545E+04    0.92526E+00    0.00000E+00   -0.42058E+02    0.67449E-07    0.19056E-03   -0.86065E-06
   170    0.49821E+04    0.91449E+00    0.00000E+00   -0.41592E+02    0.67081E-07    0.18895E-03   -0.84818E-06
   171    0.50093E+04    0.90364E+00    0.00000E+00   -0.41097E+02    0.66716E-07    0.18735E-03   -0.83585E-06
   172    0.50361E+04    0.89265E+00    0.00000E+00   -0.40575E+02    0.66354E-07    0.18576E-03   -0.82363E-06
   173    0.50624E+04    0.88152E+00    0.00000E+00   -0.40025E+02    0.65995E-07    0.18420E-03   -0.81151E-06
   174    0.50883E+04    0.87053E+00    0.00000E+00   -0.39448E+02    0.65639E-07    0.18265E-03   -0.79944E-06
   175    0.51139E+04    0.85940E+00    0.00000E+00   -0.38843E+02    0.65285E-07    0.18112E-03   -0.78742E-06
   176    0.51390E+04    0.84834E+00    0.00000E+00   -0.38210E+02    0.64935E-07    0.17961E-03   -0.77542E-06
   177    0.51636E+04    0.83729E+00    0.00000E+00   -0.37551E+02    0.64588E-07    0.17811E-03   -0.76341E-06
   178    0.51878E+04    0.82646E+00    0.00000E+00   -0.36863E+02    0.64244E-07    0.17662E-03   -0.75137E-06
   179    0.52115E+04    0.81557E+00    0.00000E+00   -0.36148E+02    0.63902E-07    0.17516E-03   -0.73927E-06
   180    0.52349E+04    0.80482E+00    0.00000E+00   -0.35406E+02    0.63564E-07    0.17370E-03   -0.72709E-06
