#    L    TT             EE             BB             TE          
   213    0.56999E+04    0.76279E+00    0.16282E-01    0.31171E+01
   214    0.57040E+04    0.77678E+00    0.16448E-01    0.46254E+01
   215    0.57076E+04    0.79222E+00    0.16615E-01    0.61482E+01
   216    0.57104E+04    0.80895E+00    0.16783E-01    0.76860E+01
   217    0.57127E+04    0.82711E+00    0.16951E-01    0.92367E+01
   218    0.57144E+04    0.84670E+00    0.17120E-01    0.10800E+02
   219    0.57155E+04    0.86773E+00    0.17289E-01    0.12378E+02
   220    0.57159E+04    0.89035E+00    0.17459E-01    0.13966E+02
   221    0.57158E+04    0.91447E+00    0.17629E-01    0.15565E+02
   222    0.57150E+04    0.94025E+00    0.17799E-01    0.17175E+02
   223    0.57136E+04    0.96762E+00    0.17971E-01    0.18796E+02
   224    0.57116E+04    0.99657E+00    0.18142E-01    0.20425E+02
   225    0.57090E+04    0.10272E+01    0.18314E-01    0.22063E+02
   226    0.57058E+04    0.10597E+01    0.18486E-01    0.23709E+02
   227    0.57020E+04    0.10938E+01    0.18659E-01    0.25362E+02
   228    0.56976E+04    0.11297E+01    0.18832E-01    0.27022E+02
   229    0.56926E+04    0.11674E+01    0.19006E-01    0.28688E+02
   230    0.56869E+04    0.12069E+01    0.19180E-01    0.30359E+02
   231    0.56806E+04    0.12483E+01    0.19354E-01    0.32035E+02
   232    0.56737E+04    0.12914E+01    0.19528E-01    0.33715E+02
   233    0.56663E+04    0.13367E+01    0.19703E-01    0.35397E+02
   234    0.56581E+04    0.13838E+01    0.19877E-01    0.37082E+02
   235    0.56493E+04    0.14328E+01    0.20053E-01    0.38768E+02
   236    0.56399E+04    0.14838E+01    0.20228E-01    0.40456E+02
   237    0.56299E+04    0.15369E+01    0.20403E-01    0.42144E+02
   238    0.56193E+04    0.15920E+01    0.20579E-01    0.43831E+02
   239    0.56082E+04    0.16491E+01    0.20755E-01    0.45518E+02
   240    0.55963E+04    0.17083E+01    0.20931E-01    0.47202E+02
   241    0.55840E+04    0.17696E+01    0.21107E-01    0.48883E+02
   242    0.55711E+04    0.18329E+01    0.21283E-01    0.50561E+02
   243    0.55576E+04    0.18985E+01    0.21459E-01    0.52235E+02
   244    0.55435E+04    0.19661E+01    0.21636E-01    0.53905E+02
   245    0.55287E+04    0.20359E+01    0.21812E-01    0.55568E+02
   246    0.55135E+04    0.21079E+01    0.21988E-01    0.57225E+02
   247    0.54977E+04    0.21820E+01    0.22165E-01    0.58875E+02
   248    0.54814E+04    0.22585E+01    0.22341E-01    0.60517E+02
   249    0.54645E+04    0.23371E+01    0.22517E-01    0.62151E+02
   250    0.54471E+04    0.24180E+01    0.22694E-01    0.63775E+02
   251    0.54292E+04    0.25010E+01    0.22870E-01    0.65390E+02
   252    0.54107E+04    0.25863E+01    0.23046E-01    0.66994E+02
   253    0.53918E+04    0.26738E+01    0.23222E-01    0.68586E+02
   254    0.53723E+04    0.27636E+01    0.23398E-01    0.70166E+02
   255    0.53524E+04    0.28556E+01    0.23573E-01    0.71733E+02
   256    0.53319E+04    0.29500E+01    0.23749E-01    0.73289E+02
   257    0.53110E+04    0.30464E+01    0.23924E-01    0.74824E+02
   258    0.52896E+04    0.31452E+01    0.24099E-01    0.76351E+02
   259    0.52677E+04    0.32463E+01    0.24274E-01    0.77856E+02
   260    0.52454E+04    0.33496E+01    0.24448E-01    0.79352E+02
   261    0.52226E+04    0.34551E+01    0.24622E-01    0.80819E+02
   262    0.51993E+04    0.35630E+01    0.24796E-01    0.82278E+02
   263    0.51758E+04    0.36731E+01    0.24970E-01    0.83722E+02
   264    0.51517E+04    0.37854E+01    0.25143E-01    0.85143E+02
   265    0.51271E+04    0.38999E+01    0.25316E-01    0.86534E+02
   266    0.51021E+04    0.40167E+01    0.25488E-01    0.87917E+02
   267    0.50767E+04    0.41356E+01    0.25660E-01    0.89270E+02
   268    0.50508E+04    0.42569E+01    0.25832E-01    0.90607E+02
   269    0.50245E+04    0.43803E+01    0.26003E-01    0.91922E+02
   270    0.49978E+04    0.45058E+01    0.26174E-01    0.93215E+02
   271    0.49708E+04    0.46334E+01    0.26345E-01    0.94484E+02
   272    0.49435E+04    0.47634E+01    0.26515E-01    0.95723E+02
   273    0.49157E+04    0.48953E+01    0.26684E-01    0.96947E+02
   274    0.48877E+04    0.50294E+01    0.26853E-01    0.98133E+02
   275    0.48592E+04    0.51655E+01    0.27022E-01    0.99304E+02
   276    0.48305E+04    0.53037E+01    0.27190E-01    0.10044E+03
   277    0.48014E+04    0.54439E+01    0.27358E-01    0.10156E+03
   278    0.47721E+04    0.55861E+01    0.27525E-01    0.10264E+03
   279    0.47424E+04    0.57303E+01    0.27691E-01    0.10369E+03
   280    0.47124E+04    0.58764E+01    0.27857E-01    0.10472E+03
   281    0.46823E+04    0.60245E+01    0.28022E-01    0.10572E+03
   282    0.46518E+04    0.61744E+01    0.28187E-01    0.10668E+03
   283    0.46210E+04    0.63262E+01    0.28351E-01    0.10762E+03
   284    0.45901E+04    0.64798E+01    0.28515E-01    0.10853E+03
   285    0.45589E+04    0.66353E+01    0.28678E-01    0.10940E+03
   286    0.45274E+04    0.67925E+01    0.28840E-01    0.11024E+03
   287    0.44957E+04    0.69514E+01    0.29002E-01    0.11106E+03
   288    0.44639E+04    0.71120E+01    0.29163E-01    0.11184E+03
   289    0.44318E+04    0.72742E+01    0.29323E-01    0.11258E+03
   290    0.43996E+04    0.74380E+01    0.29483E-01    0.11330E+03
   291    0.43672E+04    0.76039E+01    0.29642E-01    0.11397E+03
   292    0.43344E+04    0.77710E+01    0.29801E-01    0.11462E+03
   293    0.43017E+04    0.79388E+01    0.29958E-01    0.11523E+03
   294    0.42687E+04    0.81088E+01    0.30115E-01    0.11581E+03
   295    0.42358E+04    0.82796E+01    0.30272E-01    0.11634E+03
   296    0.42026E+04    0.84526E+01    0.30427E-01    0.11685E+03
   297    0.41693E+04    0.86255E+01    0.30582E-01    0.11733E+03
   298    0.41358E+04    0.88007E+01    0.30736E-01    0.11776E+03
   299    0.41023E+04    0.89774E+01    0.30890E-01    0.11815E+03
   300    0.40686E+04    0.91541E+01    0.31042E-01    0.11851E+03
   301    0.40349E+04    0.93322E+01    0.31194E-01    0.11883E+03
   302    0.40012E+04    0.95110E+01    0.31346E-01    0.11913E+03
   303    0.39674E+04    0.96914E+01    0.31496E-01    0.11938E+03
   304    0.39335E+04    0.98732E+01    0.31646E-01    0.11958E+03
   305    0.38997E+04    0.10055E+02    0.31795E-01    0.11976E+03
   306    0.38657E+04    0.10237E+02    0.31944E-01    0.11990E+03
   307    0.38318E+04    0.10421E+02    0.32091E-01    0.11999E+03
   308    0.37978E+04    0.10606E+02    0.32238E-01    0.12006E+03
   309    0.37640E+04    0.10791E+02    0.32385E-01    0.12007E+03
   310    0.37300E+04    0.10976E+02    0.32530E-01    0.12006E+03
   311    0.36962E+04    0.11162E+02    0.32675E-01    0.12000E+03
   312    0.36624E+04    0.11349E+02    0.32820E-01    0.11992E+03
   313    0.36286E+04    0.11535E+02    0.32963E-01    0.11978E+03
   314    0.35949E+04    0.11723E+02    0.33106E-01    0.11962E+03
   315    0.35613E+04    0.11910E+02    0.33248E-01    0.11941E+03
   316    0.35278E+04    0.12097E+02    0.33390E-01    0.11917E+03
   317    0.34943E+04    0.12284E+02    0.33530E-01    0.11888E+03
   318    0.34609E+04    0.12472E+02    0.33671E-01    0.11856E+03
   319    0.34277E+04    0.12660E+02    0.33810E-01    0.11820E+03
   320    0.33946E+04    0.12847E+02    0.33949E-01    0.11782E+03
   321    0.33616E+04    0.13035E+02    0.34087E-01    0.11738E+03
   322    0.33288E+04    0.13222E+02    0.34224E-01    0.11691E+03
   323    0.32961E+04    0.13409E+02    0.34361E-01    0.11640E+03
   324    0.32636E+04    0.13596E+02    0.34497E-01    0.11585E+03
   325    0.32313E+04    0.13780E+02    0.34633E-01    0.11528E+03
   326    0.31990E+04    0.13966E+02    0.34768E-01    0.11465E+03
   327    0.31670E+04    0.14151E+02    0.34902E-01    0.11399E+03
   328    0.31353E+04    0.14335E+02    0.35036E-01    0.11330E+03
   329    0.31036E+04    0.14518E+02    0.35169E-01    0.11257E+03
   330    0.30723E+04    0.14700E+02    0.35302E-01    0.11180E+03
   331    0.30412E+04    0.14881E+02    0.35434E-01    0.11100E+03
   332    0.30102E+04    0.15062E+02    0.35565E-01    0.11017E+03
   333    0.29795E+04    0.15242E+02    0.35696E-01    0.10930E+03
   334    0.29491E+04    0.15421E+02    0.35827E-01    0.10840E+03
   335    0.29189E+04    0.15597E+02    0.35956E-01    0.10745E+03
   336    0.28889E+04    0.15773E+02    0.36086E-01    0.10648E+03
   337    0.28593E+04    0.15948E+02    0.36215E-01    0.10546E+03
   338    0.28299E+04    0.16121E+02    0.36343E-01    0.10442E+03
   339    0.28008E+04    0.16294E+02    0.36472E-01    0.10335E+03
   340    0.27720E+04    0.16464E+02    0.36599E-01    0.10225E+03
   341    0.27434E+04    0.16632E+02    0.36726E-01    0.10110E+03
   342    0.27152E+04    0.16800E+02    0.36853E-01    0.99929E+02
   343    0.26873E+04    0.16965E+02    0.36980E-01    0.98725E+02
   344    0.26598E+04    0.17129E+02    0.37106E-01    0.97491E+02
   345    0.26325E+04    0.17290E+02    0.37232E-01    0.96227E+02
   346    0.26056E+04    0.17451E+02    0.37358E-01    0.94941E+02
