#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    59   0.160942E+04  -0.159574E+01   0.656773E-03  -0.159574E+01   0.198510E+00  -0.129992E-05   0.656773E-03  -0.129992E-05   0.128654E-06
    60   0.163125E+04  -0.190168E+01   0.645333E-03  -0.190168E+01   0.208852E+00  -0.129774E-05   0.645333E-03  -0.129774E-05   0.128029E-06
    61   0.165357E+04  -0.222164E+01   0.634202E-03  -0.222164E+01   0.219488E+00  -0.128772E-05   0.634202E-03  -0.128772E-05   0.127396E-06
    62   0.167580E+04  -0.255565E+01   0.623387E-03  -0.255565E+01   0.230404E+00  -0.127509E-05   0.623387E-03  -0.127509E-05   0.126757E-06
    63   0.169818E+04  -0.290311E+01   0.612890E-03  -0.290311E+01   0.241576E+00  -0.126628E-05   0.612890E-03  -0.126628E-05   0.126112E-06
    64   0.172103E+04  -0.326369E+01   0.602717E-03  -0.326369E+01   0.253031E+00  -0.126770E-05   0.602717E-03  -0.126770E-05   0.125461E-06
    65   0.174397E+04  -0.363709E+01   0.592865E-03  -0.363709E+01   0.264764E+00  -0.128348E-05   0.592865E-03  -0.128348E-05   0.124806E-06
    66   0.176726E+04  -0.402324E+01   0.583310E-03  -0.402324E+01   0.276741E+00  -0.130864E-05   0.583310E-03  -0.130864E-05   0.124147E-06
    67   0.179068E+04  -0.442168E+01   0.574019E-03  -0.442168E+01   0.288961E+00  -0.133593E-05   0.574019E-03  -0.133593E-05   0.123483E-06
    68   0.181446E+04  -0.483299E+01   0.564961E-03  -0.483299E+01   0.301455E+00  -0.135806E-05   0.564961E-03  -0.135806E-05   0.122816E-06
    69   0.183836E+04  -0.525687E+01   0.556111E-03  -0.525687E+01   0.314169E+00  -0.136956E-05   0.556111E-03  -0.136956E-05   0.122146E-06
    70   0.186254E+04  -0.569315E+01   0.547464E-03  -0.569315E+01   0.327127E+00  -0.137203E-05   0.547464E-03  -0.137203E-05   0.121474E-06
    71   0.188691E+04  -0.614180E+01   0.539023E-03  -0.614180E+01   0.340311E+00  -0.136882E-05   0.539023E-03  -0.136882E-05   0.120799E-06
    72   0.191152E+04  -0.660272E+01   0.530788E-03  -0.660272E+01   0.353713E+00  -0.136331E-05   0.530788E-03  -0.136331E-05   0.120122E-06
    73   0.193635E+04  -0.707565E+01   0.522760E-03  -0.707565E+01   0.367322E+00  -0.135853E-05   0.522760E-03  -0.135853E-05   0.119445E-06
    74   0.196140E+04  -0.756024E+01   0.514940E-03  -0.756024E+01   0.381126E+00  -0.135614E-05   0.514940E-03  -0.135614E-05   0.118767E-06
    75   0.198672E+04  -0.805591E+01   0.507327E-03  -0.805591E+01   0.395127E+00  -0.135748E-05   0.507327E-03  -0.135748E-05   0.118088E-06
    76   0.201223E+04  -0.856265E+01   0.499921E-03  -0.856265E+01   0.409315E+00  -0.136386E-05   0.499921E-03  -0.136386E-05   0.117409E-06
    77   0.203800E+04  -0.908006E+01   0.492719E-03  -0.908006E+01   0.423657E+00  -0.137589E-05   0.492719E-03  -0.137589E-05   0.116730E-06
    78   0.206408E+04  -0.960946E+01   0.485706E-03  -0.960946E+01   0.438181E+00  -0.139131E-05   0.485706E-03  -0.139131E-05   0.116051E-06
    79   0.209032E+04  -0.101471E+02   0.478864E-03  -0.101471E+02   0.452843E+00  -0.140713E-05   0.478864E-03  -0.140713E-05   0.115372E-06
    80   0.211685E+04  -0.106943E+02   0.472177E-03  -0.106943E+02   0.467657E+00  -0.142035E-05   0.472177E-03  -0.142035E-05   0.114695E-06
    81   0.214357E+04  -0.112517E+02   0.465628E-03  -0.112517E+02   0.482580E+00  -0.142868E-05   0.465628E-03  -0.142868E-05   0.114018E-06
    82   0.217056E+04  -0.118185E+02   0.459216E-03  -0.118185E+02   0.497635E+00  -0.143253E-05   0.459216E-03  -0.143253E-05   0.113342E-06
    83   0.219776E+04  -0.123945E+02   0.452939E-03  -0.123945E+02   0.512791E+00  -0.143301E-05   0.452939E-03  -0.143301E-05   0.112668E-06
    84   0.222525E+04  -0.129779E+02   0.446796E-03  -0.129779E+02   0.528043E+00  -0.143124E-05   0.446796E-03  -0.143124E-05   0.111996E-06
    85   0.225287E+04  -0.135700E+02   0.440788E-03  -0.135700E+02   0.543363E+00  -0.142832E-05   0.440788E-03  -0.142832E-05   0.111325E-06
    86   0.228072E+04  -0.141699E+02   0.434913E-03  -0.141699E+02   0.558760E+00  -0.142535E-05   0.434913E-03  -0.142535E-05   0.110657E-06
    87   0.230901E+04  -0.147767E+02   0.429170E-03  -0.147767E+02   0.574198E+00  -0.142345E-05   0.429170E-03  -0.142345E-05   0.109990E-06
    88   0.233730E+04  -0.153902E+02   0.423560E-03  -0.153902E+02   0.589686E+00  -0.142345E-05   0.423560E-03  -0.142345E-05   0.109326E-06
    89   0.236597E+04  -0.160117E+02   0.418077E-03  -0.160117E+02   0.605212E+00  -0.142515E-05   0.418077E-03  -0.142515E-05   0.108664E-06
    90   0.239487E+04  -0.166384E+02   0.412716E-03  -0.166384E+02   0.620740E+00  -0.142807E-05   0.412716E-03  -0.142807E-05   0.108005E-06
    91   0.242393E+04  -0.172710E+02   0.407474E-03  -0.172710E+02   0.636267E+00  -0.143172E-05   0.407474E-03  -0.143172E-05   0.107349E-06
    92   0.245329E+04  -0.179087E+02   0.402344E-03  -0.179087E+02   0.651780E+00  -0.143563E-05   0.402344E-03  -0.143563E-05   0.106695E-06
    93   0.248297E+04  -0.185515E+02   0.397322E-03  -0.185515E+02   0.667274E+00  -0.143933E-05   0.397322E-03  -0.143933E-05   0.106044E-06
    94   0.251272E+04  -0.191979E+02   0.392403E-03  -0.191979E+02   0.682714E+00  -0.144234E-05   0.392403E-03  -0.144234E-05   0.105396E-06
    95   0.254279E+04  -0.198488E+02   0.387583E-03  -0.198488E+02   0.698104E+00  -0.144427E-05   0.387583E-03  -0.144427E-05   0.104751E-06
    96   0.257286E+04  -0.205032E+02   0.382858E-03  -0.205032E+02   0.713425E+00  -0.144519E-05   0.382858E-03  -0.144519E-05   0.104110E-06
    97   0.260338E+04  -0.211606E+02   0.378228E-03  -0.211606E+02   0.728662E+00  -0.144525E-05   0.378228E-03  -0.144525E-05   0.103472E-06
    98   0.263412E+04  -0.218186E+02   0.373689E-03  -0.218186E+02   0.743803E+00  -0.144458E-05   0.373689E-03  -0.144458E-05   0.102837E-06
    99   0.266492E+04  -0.224804E+02   0.369239E-03  -0.224804E+02   0.758810E+00  -0.144336E-05   0.369239E-03  -0.144336E-05   0.102205E-06
   100   0.269602E+04  -0.231413E+02   0.364876E-03  -0.231413E+02   0.773680E+00  -0.144172E-05   0.364876E-03  -0.144172E-05   0.101577E-06
   101   0.272724E+04  -0.238045E+02   0.360597E-03  -0.238045E+02   0.788469E+00  -0.143982E-05   0.360597E-03  -0.143982E-05   0.100953E-06
   102   0.275896E+04  -0.244677E+02   0.356401E-03  -0.244677E+02   0.803029E+00  -0.143778E-05   0.356401E-03  -0.143778E-05   0.100332E-06
   103   0.279059E+04  -0.251316E+02   0.352286E-03  -0.251316E+02   0.817433E+00  -0.143561E-05   0.352286E-03  -0.143561E-05   0.997152E-07
   104   0.282244E+04  -0.257933E+02   0.348248E-03  -0.257933E+02   0.831685E+00  -0.143328E-05   0.348248E-03  -0.143328E-05   0.991018E-07
