#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
  5968   0.227137E-01   0.615545E-04   0.178992E-07   0.615545E-04   0.323336E-03   0.201807E-10   0.178992E-07   0.201807E-10   0.273200E-09
  5969   0.226638E-01   0.630223E-04   0.178916E-07   0.630223E-04   0.322490E-03   0.203202E-10   0.178916E-07   0.203202E-10   0.273089E-09
  5970   0.226138E-01   0.644804E-04   0.178840E-07   0.644804E-04   0.321645E-03   0.204595E-10   0.178840E-07   0.204595E-10   0.272978E-09
  5971   0.225638E-01   0.659155E-04   0.178763E-07   0.659155E-04   0.320806E-03   0.205985E-10   0.178763E-07   0.205985E-10   0.272867E-09
  5972   0.225153E-01   0.673185E-04   0.178687E-07   0.673185E-04   0.319983E-03   0.207373E-10   0.178687E-07   0.207373E-10   0.272755E-09
  5973   0.224660E-01   0.687140E-04   0.178611E-07   0.687140E-04   0.319153E-03   0.208757E-10   0.178611E-07   0.208757E-10   0.272644E-09
  5974   0.224161E-01   0.700781E-04   0.178535E-07   0.700781E-04   0.318331E-03   0.210139E-10   0.178535E-07   0.210139E-10   0.272533E-09
  5975   0.223668E-01   0.714196E-04   0.178459E-07   0.714196E-04   0.317516E-03   0.211518E-10   0.178459E-07   0.211518E-10   0.272422E-09
  5976   0.223183E-01   0.727460E-04   0.178383E-07   0.727460E-04   0.316693E-03   0.212895E-10   0.178383E-07   0.212895E-10   0.272311E-09
  5977   0.222691E-01   0.740491E-04   0.178307E-07   0.740491E-04   0.315894E-03   0.214268E-10   0.178307E-07   0.214268E-10   0.272200E-09
  5978   0.222206E-01   0.753296E-04   0.178231E-07   0.753296E-04   0.315094E-03   0.215638E-10   0.178231E-07   0.215638E-10   0.272090E-09
  5979   0.221722E-01   0.765792E-04   0.178154E-07   0.765792E-04   0.314295E-03   0.217005E-10   0.178154E-07   0.217005E-10   0.271979E-09
  5980   0.221237E-01   0.778276E-04   0.178078E-07   0.778276E-04   0.313503E-03   0.218369E-10   0.178078E-07   0.218369E-10   0.271868E-09
  5981   0.220759E-01   0.790459E-04   0.178002E-07   0.790459E-04   0.312719E-03   0.219729E-10   0.178002E-07   0.219729E-10   0.271757E-09
  5982   0.220275E-01   0.802331E-04   0.177926E-07   0.802331E-04   0.311935E-03   0.221087E-10   0.177926E-07   0.221087E-10   0.271647E-09
  5983   0.219797E-01   0.814043E-04   0.177850E-07   0.814043E-04   0.311152E-03   0.222441E-10   0.177850E-07   0.222441E-10   0.271536E-09
  5984   0.219320E-01   0.825525E-04   0.177774E-07   0.825525E-04   0.310383E-03   0.223791E-10   0.177774E-07   0.223791E-10   0.271426E-09
  5985   0.218850E-01   0.836778E-04   0.177698E-07   0.836778E-04   0.309615E-03   0.225138E-10   0.177698E-07   0.225138E-10   0.271315E-09
  5986   0.218373E-01   0.847794E-04   0.177623E-07   0.847794E-04   0.308854E-03   0.226481E-10   0.177623E-07   0.226481E-10   0.271205E-09
  5987   0.217903E-01   0.858587E-04   0.177547E-07   0.858587E-04   0.308086E-03   0.227821E-10   0.177547E-07   0.227821E-10   0.271094E-09
  5988   0.217433E-01   0.869216E-04   0.177471E-07   0.869216E-04   0.307333E-03   0.229157E-10   0.177471E-07   0.229157E-10   0.270984E-09
  5989   0.216964E-01   0.879541E-04   0.177395E-07   0.879541E-04   0.306580E-03   0.230489E-10   0.177395E-07   0.230489E-10   0.270874E-09
  5990   0.216494E-01   0.889641E-04   0.177319E-07   0.889641E-04   0.305835E-03   0.231818E-10   0.177319E-07   0.231818E-10   0.270763E-09
  5991   0.216031E-01   0.899606E-04   0.177243E-07   0.899606E-04   0.305090E-03   0.233142E-10   0.177243E-07   0.233142E-10   0.270653E-09
  5992   0.215576E-01   0.909280E-04   0.177167E-07   0.909280E-04   0.304345E-03   0.234462E-10   0.177167E-07   0.234462E-10   0.270543E-09
  5993   0.215114E-01   0.918751E-04   0.177091E-07   0.918751E-04   0.303616E-03   0.235779E-10   0.177091E-07   0.235779E-10   0.270433E-09
  5994   0.214659E-01   0.927944E-04   0.177015E-07   0.927944E-04   0.302879E-03   0.237091E-10   0.177015E-07   0.237091E-10   0.270323E-09
  5995   0.214204E-01   0.936948E-04   0.176939E-07   0.936948E-04   0.302149E-03   0.238399E-10   0.176939E-07   0.238399E-10   0.270213E-09
  5996   0.213749E-01   0.945771E-04   0.176863E-07   0.945771E-04   0.301427E-03   0.239703E-10   0.176863E-07   0.239703E-10   0.270103E-09
  5997   0.213294E-01   0.954322E-04   0.176788E-07   0.954322E-04   0.300706E-03   0.241002E-10   0.176788E-07   0.241002E-10   0.269993E-09
  5998   0.212847E-01   0.962594E-04   0.176712E-07   0.962594E-04   0.299984E-03   0.242297E-10   0.176712E-07   0.242297E-10   0.269883E-09
  5999   0.212400E-01   0.970727E-04   0.176636E-07   0.970727E-04   0.299270E-03   0.243588E-10   0.176636E-07   0.243588E-10   0.269773E-09
  6000   0.211952E-01   0.978573E-04   0.176560E-07   0.978573E-04   0.298564E-03   0.244874E-10   0.176560E-07   0.244874E-10   0.269663E-09
  6001   0.211505E-01   0.986257E-04   0.176484E-07   0.986257E-04   0.297858E-03   0.246155E-10   0.176484E-07   0.246155E-10   0.269554E-09
  6002   0.211064E-01   0.993631E-04   0.176408E-07   0.993631E-04   0.297152E-03   0.247432E-10   0.176408E-07   0.247432E-10   0.269444E-09
  6003   0.210632E-01   0.100083E-03   0.176332E-07   0.100083E-03   0.296446E-03   0.248704E-10   0.176332E-07   0.248704E-10   0.269334E-09
  6004   0.210184E-01   0.100786E-03   0.176257E-07   0.100786E-03   0.295748E-03   0.249971E-10   0.176257E-07   0.249971E-10   0.269225E-09
  6005   0.209752E-01   0.101458E-03   0.176181E-07   0.101458E-03   0.295057E-03   0.251234E-10   0.176181E-07   0.251234E-10   0.269115E-09
  6006   0.209319E-01   0.102115E-03   0.176105E-07   0.102115E-03   0.294367E-03   0.252491E-10   0.176105E-07   0.252491E-10   0.269006E-09
  6007   0.208886E-01   0.102749E-03   0.176029E-07   0.102749E-03   0.293676E-03   0.253743E-10   0.176029E-07   0.253743E-10   0.268896E-09
  6008   0.208454E-01   0.103353E-03   0.175953E-07   0.103353E-03   0.292986E-03   0.254991E-10   0.175953E-07   0.254991E-10   0.268787E-09
  6009   0.208028E-01   0.103943E-03   0.175877E-07   0.103943E-03   0.292303E-03   0.256233E-10   0.175877E-07   0.256233E-10   0.268678E-09
  6010   0.207603E-01   0.104513E-03   0.175802E-07   0.104513E-03   0.291628E-03   0.257470E-10   0.175802E-07   0.257470E-10   0.268568E-09
  6011   0.207178E-01   0.105061E-03   0.175726E-07   0.105061E-03   0.290946E-03   0.258702E-10   0.175726E-07   0.258702E-10   0.268459E-09
  6012   0.206760E-01   0.105588E-03   0.175650E-07   0.105588E-03   0.290271E-03   0.259928E-10   0.175650E-07   0.259928E-10   0.268350E-09
  6013   0.206335E-01   0.106086E-03   0.175574E-07   0.106086E-03   0.289596E-03   0.261149E-10   0.175574E-07   0.261149E-10   0.268241E-09
  6014   0.205924E-01   0.106571E-03   0.175498E-07   0.106571E-03   0.288922E-03   0.262365E-10   0.175498E-07   0.262365E-10   0.268132E-09
  6015   0.205506E-01   0.107034E-03   0.175422E-07   0.107034E-03   0.288255E-03   0.263575E-10   0.175422E-07   0.263575E-10   0.268022E-09
  6016   0.205096E-01   0.107470E-03   0.175346E-07   0.107470E-03   0.287581E-03   0.264779E-10   0.175346E-07   0.264779E-10   0.267913E-09
  6017   0.204685E-01   0.107891E-03   0.175271E-07   0.107891E-03   0.286921E-03   0.265978E-10   0.175271E-07   0.265978E-10   0.267804E-09
  6018   0.204275E-01   0.108284E-03   0.175195E-07   0.108284E-03   0.286255E-03   0.267171E-10   0.175195E-07   0.267171E-10   0.267696E-09
  6019   0.203864E-01   0.108663E-03   0.175119E-07   0.108663E-03   0.285596E-03   0.268358E-10   0.175119E-07   0.268358E-10   0.267587E-09
  6020   0.203461E-01   0.109015E-03   0.175043E-07   0.109015E-03   0.284937E-03   0.269539E-10   0.175043E-07   0.269539E-10   0.267478E-09
  6021   0.203065E-01   0.109353E-03   0.174967E-07   0.109353E-03   0.284278E-03   0.270714E-10   0.174967E-07   0.270714E-10   0.267369E-09
  6022   0.202662E-01   0.109671E-03   0.174891E-07   0.109671E-03   0.283619E-03   0.271884E-10   0.174891E-07   0.271884E-10   0.267260E-09
  6023   0.202266E-01   0.109971E-03   0.174815E-07   0.109971E-03   0.282968E-03   0.273047E-10   0.174815E-07   0.273047E-10   0.267152E-09
  6024   0.201863E-01   0.110242E-03   0.174739E-07   0.110242E-03   0.282317E-03   0.274204E-10   0.174739E-07   0.274204E-10   0.267043E-09
  6025   0.201474E-01   0.110503E-03   0.174663E-07   0.110503E-03   0.281666E-03   0.275355E-10   0.174663E-07   0.275355E-10   0.266934E-09
  6026   0.201086E-01   0.110746E-03   0.174587E-07   0.110746E-03   0.281015E-03   0.276499E-10   0.174587E-07   0.276499E-10   0.266826E-09
  6027   0.200697E-01   0.110966E-03   0.174511E-07   0.110966E-03   0.280372E-03   0.277637E-10   0.174511E-07   0.277637E-10   0.266717E-09
  6028   0.200316E-01   0.111169E-03   0.174435E-07   0.111169E-03   0.279722E-03   0.278769E-10   0.174435E-07   0.278769E-10   0.266609E-09
  6029   0.199928E-01   0.111358E-03   0.174360E-07   0.111358E-03   0.279078E-03   0.279894E-10   0.174360E-07   0.279894E-10   0.266501E-09
  6030   0.199547E-01   0.111519E-03   0.174284E-07   0.111519E-03   0.278435E-03   0.281013E-10   0.174284E-07   0.281013E-10   0.266392E-09
  6031   0.199165E-01   0.111666E-03   0.174208E-07   0.111666E-03   0.277793E-03   0.282125E-10   0.174208E-07   0.282125E-10   0.266284E-09
  6032   0.198799E-01   0.111793E-03   0.174131E-07   0.111793E-03   0.277150E-03   0.283231E-10   0.174131E-07   0.283231E-10   0.266176E-09
  6033   0.198418E-01   0.111905E-03   0.174055E-07   0.111905E-03   0.276507E-03   0.284329E-10   0.174055E-07   0.284329E-10   0.266067E-09
  6034   0.198044E-01   0.111993E-03   0.173979E-07   0.111993E-03   0.275865E-03   0.285421E-10   0.173979E-07   0.285421E-10   0.265959E-09
  6035   0.197670E-01   0.112065E-03   0.173903E-07   0.112065E-03   0.275229E-03   0.286506E-10   0.173903E-07   0.286506E-10   0.265851E-09
  6036   0.197303E-01   0.112127E-03   0.173827E-07   0.112127E-03   0.274587E-03   0.287584E-10   0.173827E-07   0.287584E-10   0.265743E-09
  6037   0.196944E-01   0.112163E-03   0.173751E-07   0.112163E-03   0.273952E-03   0.288655E-10   0.173751E-07   0.288655E-10   0.265635E-09
  6038   0.196570E-01   0.112187E-03   0.173675E-07   0.112187E-03   0.273310E-03   0.289719E-10   0.173675E-07   0.289719E-10   0.265527E-09
  6039   0.196211E-01   0.112191E-03   0.173599E-07   0.112191E-03   0.272675E-03   0.290776E-10   0.173599E-07   0.290776E-10   0.265419E-09
  6040   0.195852E-01   0.112186E-03   0.173523E-07   0.112186E-03   0.272040E-03   0.291825E-10   0.173523E-07   0.291825E-10   0.265311E-09
  6041   0.195400E-01   0.114364E-03   0.173447E-07   0.114364E-03   0.271640E-03   0.292867E-10   0.173447E-07   0.292867E-10   0.265203E-09
  6042   0.194951E-01   0.116530E-03   0.173370E-07   0.116530E-03   0.271239E-03   0.293902E-10   0.173370E-07   0.293902E-10   0.265096E-09
  6043   0.194502E-01   0.118683E-03   0.173294E-07   0.118683E-03   0.270837E-03   0.294930E-10   0.173294E-07   0.294930E-10   0.264988E-09
  6044   0.194056E-01   0.120825E-03   0.173218E-07   0.120825E-03   0.270436E-03   0.295951E-10   0.173218E-07   0.295951E-10   0.264880E-09
  6045   0.193611E-01   0.122954E-03   0.173142E-07   0.122954E-03   0.270034E-03   0.296964E-10   0.173142E-07   0.296964E-10   0.264772E-09
  6046   0.193167E-01   0.125071E-03   0.173066E-07   0.125071E-03   0.269632E-03   0.297970E-10   0.173066E-07   0.297970E-10   0.264665E-09
  6047   0.192725E-01   0.127176E-03   0.172989E-07   0.127176E-03   0.269229E-03   0.298968E-10   0.172989E-07   0.298968E-10   0.264557E-09
  6048   0.192285E-01   0.129269E-03   0.172913E-07   0.129269E-03   0.268826E-03   0.299960E-10   0.172913E-07   0.299960E-10   0.264450E-09
  6049   0.191846E-01   0.131350E-03   0.172837E-07   0.131350E-03   0.268423E-03   0.300944E-10   0.172837E-07   0.300944E-10   0.264342E-09
  6050   0.191408E-01   0.133419E-03   0.172760E-07   0.133419E-03   0.268020E-03   0.301922E-10   0.172760E-07   0.301922E-10   0.264235E-09
  6051   0.190973E-01   0.135476E-03   0.172684E-07   0.135476E-03   0.267616E-03   0.302892E-10   0.172684E-07   0.302892E-10   0.264127E-09
  6052   0.190538E-01   0.137521E-03   0.172608E-07   0.137521E-03   0.267212E-03   0.303855E-10   0.172608E-07   0.303855E-10   0.264020E-09
  6053   0.190106E-01   0.139554E-03   0.172531E-07   0.139554E-03   0.266808E-03   0.304811E-10   0.172531E-07   0.304811E-10   0.263913E-09
  6054   0.189674E-01   0.141574E-03   0.172455E-07   0.141574E-03   0.266404E-03   0.305759E-10   0.172455E-07   0.305759E-10   0.263806E-09
  6055   0.189245E-01   0.143584E-03   0.172378E-07   0.143584E-03   0.265999E-03   0.306701E-10   0.172378E-07   0.306701E-10   0.263698E-09
  6056   0.188817E-01   0.145581E-03   0.172302E-07   0.145581E-03   0.265594E-03   0.307636E-10   0.172302E-07   0.307636E-10   0.263591E-09
  6057   0.188390E-01   0.147566E-03   0.172225E-07   0.147566E-03   0.265189E-03   0.308563E-10   0.172225E-07   0.308563E-10   0.263484E-09
  6058   0.187965E-01   0.149539E-03   0.172149E-07   0.149539E-03   0.264783E-03   0.309484E-10   0.172149E-07   0.309484E-10   0.263377E-09
  6059   0.187541E-01   0.151501E-03   0.172073E-07   0.151501E-03   0.264377E-03   0.310398E-10   0.172073E-07   0.310398E-10   0.263270E-09
  6060   0.187119E-01   0.153451E-03   0.171996E-07   0.153451E-03   0.263971E-03   0.311304E-10   0.171996E-07   0.311304E-10   0.263163E-09
  6061   0.186699E-01   0.155389E-03   0.171920E-07   0.155389E-03   0.263565E-03   0.312204E-10   0.171920E-07   0.312204E-10   0.263056E-09
  6062   0.186280E-01   0.157316E-03   0.171843E-07   0.157316E-03   0.263158E-03   0.313096E-10   0.171843E-07   0.313096E-10   0.262949E-09
  6063   0.185862E-01   0.159230E-03   0.171766E-07   0.159230E-03   0.262751E-03   0.313982E-10   0.171766E-07   0.313982E-10   0.262843E-09
  6064   0.185446E-01   0.161133E-03   0.171690E-07   0.161133E-03   0.262344E-03   0.314861E-10   0.171690E-07   0.314861E-10   0.262736E-09
  6065   0.185032E-01   0.163025E-03   0.171613E-07   0.163025E-03   0.261937E-03   0.315732E-10   0.171613E-07   0.315732E-10   0.262629E-09
  6066   0.184619E-01   0.164904E-03   0.171537E-07   0.164904E-03   0.261529E-03   0.316597E-10   0.171537E-07   0.316597E-10   0.262522E-09
  6067   0.184207E-01   0.166772E-03   0.171460E-07   0.166772E-03   0.261121E-03   0.317455E-10   0.171460E-07   0.317455E-10   0.262416E-09
  6068   0.183797E-01   0.168629E-03   0.171383E-07   0.168629E-03   0.260713E-03   0.318306E-10   0.171383E-07   0.318306E-10   0.262309E-09
  6069   0.183389E-01   0.170474E-03   0.171307E-07   0.170474E-03   0.260305E-03   0.319151E-10   0.171307E-07   0.319151E-10   0.262203E-09
  6070   0.182982E-01   0.172307E-03   0.171230E-07   0.172307E-03   0.259896E-03   0.319988E-10   0.171230E-07   0.319988E-10   0.262096E-09
  6071   0.182576E-01   0.174129E-03   0.171153E-07   0.174129E-03   0.259487E-03   0.320819E-10   0.171153E-07   0.320819E-10   0.261990E-09
  6072   0.182172E-01   0.175940E-03   0.171077E-07   0.175940E-03   0.259078E-03   0.321643E-10   0.171077E-07   0.321643E-10   0.261883E-09
  6073   0.181769E-01   0.177739E-03   0.171000E-07   0.177739E-03   0.258669E-03   0.322460E-10   0.171000E-07   0.322460E-10   0.261777E-09
  6074   0.181368E-01   0.179526E-03   0.170923E-07   0.179526E-03   0.258259E-03   0.323270E-10   0.170923E-07   0.323270E-10   0.261671E-09
  6075   0.180968E-01   0.181302E-03   0.170846E-07   0.181302E-03   0.257849E-03   0.324073E-10   0.170846E-07   0.324073E-10   0.261564E-09
  6076   0.180570E-01   0.183067E-03   0.170770E-07   0.183067E-03   0.257439E-03   0.324870E-10   0.170770E-07   0.324870E-10   0.261458E-09
  6077   0.180174E-01   0.184821E-03   0.170693E-07   0.184821E-03   0.257029E-03   0.325660E-10   0.170693E-07   0.325660E-10   0.261352E-09
  6078   0.179778E-01   0.186563E-03   0.170616E-07   0.186563E-03   0.256618E-03   0.326443E-10   0.170616E-07   0.326443E-10   0.261246E-09
  6079   0.179384E-01   0.188294E-03   0.170539E-07   0.188294E-03   0.256208E-03   0.327220E-10   0.170539E-07   0.327220E-10   0.261140E-09
  6080   0.178992E-01   0.190013E-03   0.170462E-07   0.190013E-03   0.255797E-03   0.327989E-10   0.170462E-07   0.327989E-10   0.261034E-09
  6081   0.178601E-01   0.191722E-03   0.170386E-07   0.191722E-03   0.255385E-03   0.328753E-10   0.170386E-07   0.328753E-10   0.260928E-09
  6082   0.178212E-01   0.193419E-03   0.170309E-07   0.193419E-03   0.254974E-03   0.329509E-10   0.170309E-07   0.329509E-10   0.260822E-09
  6083   0.177824E-01   0.195104E-03   0.170232E-07   0.195104E-03   0.254562E-03   0.330259E-10   0.170232E-07   0.330259E-10   0.260716E-09
  6084   0.177437E-01   0.196779E-03   0.170155E-07   0.196779E-03   0.254150E-03   0.331002E-10   0.170155E-07   0.331002E-10   0.260610E-09
  6085   0.177052E-01   0.198443E-03   0.170078E-07   0.198443E-03   0.253738E-03   0.331739E-10   0.170078E-07   0.331739E-10   0.260504E-09
  6086   0.176668E-01   0.200095E-03   0.170001E-07   0.200095E-03   0.253326E-03   0.332469E-10   0.170001E-07   0.332469E-10   0.260398E-09
  6087   0.176286E-01   0.201737E-03   0.169924E-07   0.201737E-03   0.252913E-03   0.333192E-10   0.169924E-07   0.333192E-10   0.260293E-09
  6088   0.175905E-01   0.203367E-03   0.169847E-07   0.203367E-03   0.252501E-03   0.333909E-10   0.169847E-07   0.333909E-10   0.260187E-09
  6089   0.175526E-01   0.204986E-03   0.169770E-07   0.204986E-03   0.252088E-03   0.334620E-10   0.169770E-07   0.334620E-10   0.260081E-09
  6090   0.175148E-01   0.206594E-03   0.169693E-07   0.206594E-03   0.251674E-03   0.335323E-10   0.169693E-07   0.335323E-10   0.259976E-09
  6091   0.174772E-01   0.208191E-03   0.169616E-07   0.208191E-03   0.251261E-03   0.336021E-10   0.169616E-07   0.336021E-10   0.259870E-09
  6092   0.174397E-01   0.209778E-03   0.169539E-07   0.209778E-03   0.250847E-03   0.336711E-10   0.169539E-07   0.336711E-10   0.259765E-09
  6093   0.174023E-01   0.211353E-03   0.169462E-07   0.211353E-03   0.250434E-03   0.337396E-10   0.169462E-07   0.337396E-10   0.259659E-09
  6094   0.173651E-01   0.212917E-03   0.169385E-07   0.212917E-03   0.250020E-03   0.338074E-10   0.169385E-07   0.338074E-10   0.259554E-09
  6095   0.173280E-01   0.214471E-03   0.169308E-07   0.214471E-03   0.249605E-03   0.338745E-10   0.169308E-07   0.338745E-10   0.259448E-09
  6096   0.172910E-01   0.216013E-03   0.169231E-07   0.216013E-03   0.249191E-03   0.339410E-10   0.169231E-07   0.339410E-10   0.259343E-09
  6097   0.172542E-01   0.217545E-03   0.169154E-07   0.217545E-03   0.248776E-03   0.340068E-10   0.169154E-07   0.340068E-10   0.259238E-09
  6098   0.172176E-01   0.219066E-03   0.169077E-07   0.219066E-03   0.248362E-03   0.340721E-10   0.169077E-07   0.340721E-10   0.259133E-09
  6099   0.171811E-01   0.220576E-03   0.169000E-07   0.220576E-03   0.247947E-03   0.341366E-10   0.169000E-07   0.341366E-10   0.259027E-09
  6100   0.171447E-01   0.222076E-03   0.168923E-07   0.222076E-03   0.247532E-03   0.342006E-10   0.168923E-07   0.342006E-10   0.258922E-09
  6101   0.171084E-01   0.223564E-03   0.168846E-07   0.223564E-03   0.247116E-03   0.342639E-10   0.168846E-07   0.342639E-10   0.258817E-09
  6102   0.170723E-01   0.225042E-03   0.168768E-07   0.225042E-03   0.246701E-03   0.343265E-10   0.168768E-07   0.343265E-10   0.258712E-09
  6103   0.170364E-01   0.226509E-03   0.168691E-07   0.226509E-03   0.246285E-03   0.343886E-10   0.168691E-07   0.343886E-10   0.258607E-09
  6104   0.170005E-01   0.227966E-03   0.168614E-07   0.227966E-03   0.245869E-03   0.344499E-10   0.168614E-07   0.344499E-10   0.258502E-09
  6105   0.169648E-01   0.229412E-03   0.168537E-07   0.229412E-03   0.245453E-03   0.345107E-10   0.168537E-07   0.345107E-10   0.258397E-09
  6106   0.169293E-01   0.230847E-03   0.168460E-07   0.230847E-03   0.245037E-03   0.345709E-10   0.168460E-07   0.345709E-10   0.258293E-09
  6107   0.168939E-01   0.232272E-03   0.168382E-07   0.232272E-03   0.244620E-03   0.346304E-10   0.168382E-07   0.346304E-10   0.258188E-09
  6108   0.168586E-01   0.233686E-03   0.168305E-07   0.233686E-03   0.244204E-03   0.346893E-10   0.168305E-07   0.346893E-10   0.258083E-09
  6109   0.168235E-01   0.235090E-03   0.168228E-07   0.235090E-03   0.243787E-03   0.347475E-10   0.168228E-07   0.347475E-10   0.257978E-09
  6110   0.167885E-01   0.236483E-03   0.168151E-07   0.236483E-03   0.243370E-03   0.348052E-10   0.168151E-07   0.348052E-10   0.257874E-09
  6111   0.167536E-01   0.237865E-03   0.168073E-07   0.237865E-03   0.242953E-03   0.348622E-10   0.168073E-07   0.348622E-10   0.257769E-09
  6112   0.167189E-01   0.239237E-03   0.167996E-07   0.239237E-03   0.242535E-03   0.349186E-10   0.167996E-07   0.349186E-10   0.257664E-09
  6113   0.166843E-01   0.240599E-03   0.167919E-07   0.240599E-03   0.242118E-03   0.349744E-10   0.167919E-07   0.349744E-10   0.257560E-09
  6114   0.166498E-01   0.241950E-03   0.167842E-07   0.241950E-03   0.241700E-03   0.350296E-10   0.167842E-07   0.350296E-10   0.257455E-09
  6115   0.166155E-01   0.243291E-03   0.167764E-07   0.243291E-03   0.241283E-03   0.350841E-10   0.167764E-07   0.350841E-10   0.257351E-09
  6116   0.165813E-01   0.244622E-03   0.167687E-07   0.244622E-03   0.240865E-03   0.351381E-10   0.167687E-07   0.351381E-10   0.257246E-09
  6117   0.165473E-01   0.245942E-03   0.167610E-07   0.245942E-03   0.240447E-03   0.351914E-10   0.167610E-07   0.351914E-10   0.257142E-09
  6118   0.165134E-01   0.247252E-03   0.167532E-07   0.247252E-03   0.240028E-03   0.352441E-10   0.167532E-07   0.352441E-10   0.257038E-09
  6119   0.164796E-01   0.248552E-03   0.167455E-07   0.248552E-03   0.239610E-03   0.352962E-10   0.167455E-07   0.352962E-10   0.256933E-09
  6120   0.164460E-01   0.249841E-03   0.167377E-07   0.249841E-03   0.239191E-03   0.353477E-10   0.167377E-07   0.353477E-10   0.256829E-09
  6121   0.164124E-01   0.251120E-03   0.167300E-07   0.251120E-03   0.238773E-03   0.353986E-10   0.167300E-07   0.353986E-10   0.256725E-09
  6122   0.163791E-01   0.252389E-03   0.167223E-07   0.252389E-03   0.238354E-03   0.354489E-10   0.167223E-07   0.354489E-10   0.256621E-09
  6123   0.163458E-01   0.253648E-03   0.167145E-07   0.253648E-03   0.237935E-03   0.354986E-10   0.167145E-07   0.354986E-10   0.256517E-09
  6124   0.163127E-01   0.254896E-03   0.167068E-07   0.254896E-03   0.237515E-03   0.355477E-10   0.167068E-07   0.355477E-10   0.256413E-09
  6125   0.162797E-01   0.256135E-03   0.166990E-07   0.256135E-03   0.237096E-03   0.355962E-10   0.166990E-07   0.355962E-10   0.256309E-09
  6126   0.162469E-01   0.257363E-03   0.166913E-07   0.257363E-03   0.236677E-03   0.356441E-10   0.166913E-07   0.356441E-10   0.256205E-09
  6127   0.162142E-01   0.258581E-03   0.166835E-07   0.258581E-03   0.236257E-03   0.356914E-10   0.166835E-07   0.356914E-10   0.256101E-09
  6128   0.161816E-01   0.259789E-03   0.166758E-07   0.259789E-03   0.235837E-03   0.357381E-10   0.166758E-07   0.357381E-10   0.255997E-09
  6129   0.161491E-01   0.260988E-03   0.166680E-07   0.260988E-03   0.235418E-03   0.357843E-10   0.166680E-07   0.357843E-10   0.255893E-09
  6130   0.161168E-01   0.262176E-03   0.166603E-07   0.262176E-03   0.234998E-03   0.358298E-10   0.166603E-07   0.358298E-10   0.255789E-09
  6131   0.160846E-01   0.263354E-03   0.166525E-07   0.263354E-03   0.234577E-03   0.358747E-10   0.166525E-07   0.358747E-10   0.255686E-09
  6132   0.160526E-01   0.264522E-03   0.166448E-07   0.264522E-03   0.234157E-03   0.359191E-10   0.166448E-07   0.359191E-10   0.255582E-09
  6133   0.160206E-01   0.265680E-03   0.166370E-07   0.265680E-03   0.233737E-03   0.359628E-10   0.166370E-07   0.359628E-10   0.255478E-09
  6134   0.159888E-01   0.266829E-03   0.166293E-07   0.266829E-03   0.233316E-03   0.360060E-10   0.166293E-07   0.360060E-10   0.255375E-09
  6135   0.159572E-01   0.267967E-03   0.166215E-07   0.267967E-03   0.232896E-03   0.360486E-10   0.166215E-07   0.360486E-10   0.255271E-09
  6136   0.159256E-01   0.269096E-03   0.166138E-07   0.269096E-03   0.232475E-03   0.360906E-10   0.166138E-07   0.360906E-10   0.255168E-09
  6137   0.158942E-01   0.270215E-03   0.166060E-07   0.270215E-03   0.232054E-03   0.361321E-10   0.166060E-07   0.361321E-10   0.255064E-09
  6138   0.158629E-01   0.271324E-03   0.165982E-07   0.271324E-03   0.231633E-03   0.361729E-10   0.165982E-07   0.361729E-10   0.254961E-09
  6139   0.158318E-01   0.272423E-03   0.165905E-07   0.272423E-03   0.231212E-03   0.362132E-10   0.165905E-07   0.362132E-10   0.254857E-09
  6140   0.158007E-01   0.273512E-03   0.165827E-07   0.273512E-03   0.230791E-03   0.362529E-10   0.165827E-07   0.362529E-10   0.254754E-09
  6141   0.157698E-01   0.274592E-03   0.165750E-07   0.274592E-03   0.230369E-03   0.362920E-10   0.165750E-07   0.362920E-10   0.254651E-09
  6142   0.157391E-01   0.275662E-03   0.165672E-07   0.275662E-03   0.229948E-03   0.363306E-10   0.165672E-07   0.363306E-10   0.254548E-09
  6143   0.157084E-01   0.276723E-03   0.165594E-07   0.276723E-03   0.229526E-03   0.363686E-10   0.165594E-07   0.363686E-10   0.254444E-09
  6144   0.156779E-01   0.277773E-03   0.165517E-07   0.277773E-03   0.229105E-03   0.364060E-10   0.165517E-07   0.364060E-10   0.254341E-09
  6145   0.156475E-01   0.278814E-03   0.165439E-07   0.278814E-03   0.228683E-03   0.364428E-10   0.165439E-07   0.364428E-10   0.254238E-09
  6146   0.156172E-01   0.279846E-03   0.165361E-07   0.279846E-03   0.228261E-03   0.364791E-10   0.165361E-07   0.364791E-10   0.254135E-09
  6147   0.155871E-01   0.280868E-03   0.165284E-07   0.280868E-03   0.227839E-03   0.365148E-10   0.165284E-07   0.365148E-10   0.254032E-09
  6148   0.155571E-01   0.281880E-03   0.165206E-07   0.281880E-03   0.227417E-03   0.365500E-10   0.165206E-07   0.365500E-10   0.253929E-09
  6149   0.155272E-01   0.282883E-03   0.165128E-07   0.282883E-03   0.226995E-03   0.365846E-10   0.165128E-07   0.365846E-10   0.253826E-09
  6150   0.154974E-01   0.283876E-03   0.165050E-07   0.283876E-03   0.226573E-03   0.366186E-10   0.165050E-07   0.366186E-10   0.253723E-09
