#    L    TT             EE             TE             PP             TP          
   130   0.369827E+04   0.109428E+01  -0.409847E+02   0.388603E+07   0.448323E+04
   131   0.373294E+04   0.109892E+01  -0.414230E+02   0.386323E+07   0.444052E+04
   132   0.376769E+04   0.110303E+01  -0.418445E+02   0.384060E+07   0.439844E+04
   133   0.380236E+04   0.110668E+01  -0.422515E+02   0.381814E+07   0.435697E+04
   134   0.383704E+04   0.110988E+01  -0.426395E+02   0.379585E+07   0.431606E+04
   135   0.387173E+04   0.111256E+01  -0.430117E+02   0.377373E+07   0.427570E+04
   136   0.390628E+04   0.111470E+01  -0.433644E+02   0.375178E+07   0.423586E+04
   137   0.394086E+04   0.111639E+01  -0.436999E+02   0.372999E+07   0.419650E+04
   138   0.397537E+04   0.111755E+01  -0.440166E+02   0.370838E+07   0.415765E+04
   139   0.400968E+04   0.111833E+01  -0.443139E+02   0.368694E+07   0.411930E+04
   140   0.404408E+04   0.111851E+01  -0.445924E+02   0.366567E+07   0.408146E+04
   141   0.407827E+04   0.111815E+01  -0.448498E+02   0.364457E+07   0.404416E+04
   142   0.411247E+04   0.111734E+01  -0.450870E+02   0.362363E+07   0.400739E+04
   143   0.414661E+04   0.111607E+01  -0.453039E+02   0.360286E+07   0.397117E+04
   144   0.418055E+04   0.111428E+01  -0.454996E+02   0.358226E+07   0.393550E+04
   145   0.421435E+04   0.111210E+01  -0.456736E+02   0.356182E+07   0.390036E+04
   146   0.424824E+04   0.110931E+01  -0.458257E+02   0.354155E+07   0.386571E+04
   147   0.428177E+04   0.110615E+01  -0.459546E+02   0.352143E+07   0.383153E+04
   148   0.431516E+04   0.110245E+01  -0.460618E+02   0.350147E+07   0.379778E+04
   149   0.434848E+04   0.109829E+01  -0.461457E+02   0.348166E+07   0.376443E+04
   150   0.438152E+04   0.109376E+01  -0.462042E+02   0.346200E+07   0.373145E+04
   151   0.441442E+04   0.108876E+01  -0.462403E+02   0.344250E+07   0.369882E+04
   152   0.444703E+04   0.108324E+01  -0.462524E+02   0.342314E+07   0.366652E+04
   153   0.447950E+04   0.107732E+01  -0.462383E+02   0.340393E+07   0.363459E+04
   154   0.451176E+04   0.107103E+01  -0.462002E+02   0.338487E+07   0.360301E+04
   155   0.454381E+04   0.106434E+01  -0.461375E+02   0.336597E+07   0.357181E+04
   156   0.457549E+04   0.105727E+01  -0.460499E+02   0.334723E+07   0.354098E+04
   157   0.460711E+04   0.104980E+01  -0.459362E+02   0.332864E+07   0.351054E+04
   158   0.463844E+04   0.104202E+01  -0.457969E+02   0.331020E+07   0.348049E+04
   159   0.466947E+04   0.103378E+01  -0.456320E+02   0.329192E+07   0.345083E+04
   160   0.470027E+04   0.102522E+01  -0.454399E+02   0.327380E+07   0.342153E+04
   161   0.473082E+04   0.101644E+01  -0.452220E+02   0.325583E+07   0.339259E+04
   162   0.476105E+04   0.100728E+01  -0.449782E+02   0.323800E+07   0.336400E+04
   163   0.479108E+04   0.997820E+00  -0.447070E+02   0.322033E+07   0.333574E+04
   164   0.482061E+04   0.988140E+00  -0.444098E+02   0.320280E+07   0.330780E+04
   165   0.484993E+04   0.978168E+00  -0.440842E+02   0.318541E+07   0.328017E+04
   166   0.487890E+04   0.968050E+00  -0.437318E+02   0.316816E+07   0.325285E+04
   167   0.490760E+04   0.957561E+00  -0.433532E+02   0.315105E+07   0.322581E+04
   168   0.493583E+04   0.947070E+00  -0.429465E+02   0.313408E+07   0.319906E+04
   169   0.496372E+04   0.936276E+00  -0.425115E+02   0.311724E+07   0.317258E+04
   170   0.499131E+04   0.925400E+00  -0.420497E+02   0.310054E+07   0.314636E+04
   171   0.501845E+04   0.914438E+00  -0.415591E+02   0.308396E+07   0.312040E+04
   172   0.504521E+04   0.903314E+00  -0.410410E+02   0.306751E+07   0.309468E+04
