#    L    TT             EE             BB             TE          
   128   0.363109E+04   0.108772E+01   0.537365E-02  -0.399934E+02
   129   0.366573E+04   0.109334E+01   0.546172E-02  -0.404583E+02
   130   0.370036E+04   0.109843E+01   0.555067E-02  -0.409078E+02
   131   0.373499E+04   0.110314E+01   0.564051E-02  -0.413432E+02
   132   0.376969E+04   0.110733E+01   0.573124E-02  -0.417619E+02
   133   0.380432E+04   0.111107E+01   0.582287E-02  -0.421659E+02
   134   0.383895E+04   0.111436E+01   0.591541E-02  -0.425511E+02
   135   0.387359E+04   0.111712E+01   0.600886E-02  -0.429203E+02
   136   0.390809E+04   0.111936E+01   0.610322E-02  -0.432700E+02
   137   0.394260E+04   0.112114E+01   0.619851E-02  -0.436025E+02
   138   0.397706E+04   0.112240E+01   0.629473E-02  -0.439162E+02
   139   0.401130E+04   0.112328E+01   0.639189E-02  -0.442104E+02
   140   0.404564E+04   0.112356E+01   0.648998E-02  -0.444858E+02
   141   0.407976E+04   0.112331E+01   0.658902E-02  -0.447402E+02
   142   0.411390E+04   0.112261E+01   0.668901E-02  -0.449743E+02
   143   0.414797E+04   0.112146E+01   0.678996E-02  -0.451880E+02
   144   0.418184E+04   0.111978E+01   0.689187E-02  -0.453806E+02
   145   0.421556E+04   0.111773E+01   0.699474E-02  -0.455515E+02
   146   0.424937E+04   0.111507E+01   0.709858E-02  -0.457005E+02
   147   0.428282E+04   0.111204E+01   0.720341E-02  -0.458262E+02
   148   0.431613E+04   0.110848E+01   0.730920E-02  -0.459302E+02
   149   0.434937E+04   0.110446E+01   0.741599E-02  -0.460110E+02
   150   0.438232E+04   0.110007E+01   0.752376E-02  -0.460664E+02
   151   0.441513E+04   0.109523E+01   0.763252E-02  -0.460993E+02
   152   0.444765E+04   0.108986E+01   0.774228E-02  -0.461083E+02
   153   0.448003E+04   0.108411E+01   0.785304E-02  -0.460912E+02
   154   0.451219E+04   0.107798E+01   0.796480E-02  -0.460501E+02
   155   0.454414E+04   0.107146E+01   0.807756E-02  -0.459843E+02
   156   0.457572E+04   0.106456E+01   0.819133E-02  -0.458937E+02
   157   0.460724E+04   0.105728E+01   0.830611E-02  -0.457770E+02
   158   0.463846E+04   0.104969E+01   0.842191E-02  -0.456348E+02
   159   0.466939E+04   0.104164E+01   0.853871E-02  -0.454669E+02
   160   0.470008E+04   0.103328E+01   0.865654E-02  -0.452720E+02
   161   0.473052E+04   0.102470E+01   0.877538E-02  -0.450513E+02
   162   0.476063E+04   0.101575E+01   0.889523E-02  -0.448048E+02
   163   0.479054E+04   0.100651E+01   0.901611E-02  -0.445309E+02
   164   0.481996E+04   0.997056E+00   0.913801E-02  -0.442310E+02
   165   0.484916E+04   0.987313E+00   0.926092E-02  -0.439028E+02
