# beam00
#  May 2019 
#  For 2018 SPT-3G Data 
# Beam product computed from the last 5 Mars observations of 2018. Mars maps are made in source-centered coordinates. Spectra are corrected by the 15 arcsecond size of Mars, the 0.2 arcmin pixel window function, and the transfer function for the third order polynomial filter computed from mock observations. This beam is convolved with a 42 arcsecond Gaussian to account for pointing jitter in the field observations as determined from taking the cross spectra of the ten brightest point sources in the 2018 field observations of ID 47* to 57*. The jitter beam calculation is found by dividing the mean point source beam by the mean Mars beam, and fitting a Gaussian. The mean Gaussian across the three frequencies is used. The per-ell beam is a cubic interpolation between points from ell=50 to ell=20000 in bin size=50It is zero above ell=20000 and the constant at the lowest bin value below ell=50.The beam is normalized to 1 between ell=600 and ell=1000.
#  ell 90 150 220
1.423200000000000000e+04 1.010268640413215444e-02 5.841316977366391161e-02 1.079259074134803764e-01
1.423300000000000000e+04 1.009261533276351562e-02 5.837069174053002851e-02 1.079011859261371359e-01
1.423400000000000000e+04 1.008254346799757929e-02 5.832919317050339753e-02 1.078760819327296561e-01
1.423500000000000000e+04 1.007247342643177029e-02 5.828875280464209524e-02 1.078505772622459918e-01
1.423600000000000000e+04 1.006240782466352214e-02 5.824944938400417049e-02 1.078246537436742952e-01
1.423700000000000000e+04 1.005234927929026488e-02 5.821136164964769988e-02 1.077982932060026489e-01
1.423800000000000000e+04 1.004230040690943029e-02 5.817456834263075999e-02 1.077714774782192464e-01
1.423900000000000000e+04 1.003226382411844843e-02 5.813914820401140660e-02 1.077441883893121566e-01
1.424000000000000000e+04 1.002224214751474760e-02 5.810517997484770242e-02 1.077164077682695037e-01
1.424100000000000000e+04 1.001223799369576131e-02 5.807274239619773792e-02 1.076881174440794398e-01
1.424200000000000000e+04 1.000225397925891616e-02 5.804191420911956195e-02 1.076592992457300474e-01
1.424300000000000000e+04 9.992292720801645642e-03 5.801277415467125803e-02 1.076299350022094925e-01
1.424400000000000000e+04 9.982356834921379818e-03 5.798540097391086112e-02 1.076000065425058438e-01
1.424500000000000000e+04 9.972448938215550465e-03 5.795987340789646863e-02 1.075694956956072534e-01
