# This list of sources to mask was generated from TCs list at
# spt3g_software/sources/spt3g_1500d_source_list_tc_05mar19.txt.
# It includes sources with a flux >= 50mJy at 150 GHz.
# The 150 GHz flux is the one recorded here.
# I removed all sources with "bad_flag" set to 1.
# -Daniel Dutcher, 11 Aug 2019
#
#
# Index	RA	DEC	Radius	Flux
#
# 	(deg)	(deg)	(deg)	(mJy)
157 	354.04300 	-52.60900 	0.0833  	238.9700
158 	354.11800 	-48.12900 	0.0833  	69.8610
159 	354.13500 	-41.26500 	0.0833  	346.3570
160 	354.36400 	-59.02200 	0.0833  	59.0810
161 	355.82300 	-57.16400 	0.0833  	84.8120
162 	355.86400 	-56.44200 	0.0833  	79.7920
163 	356.82600 	-51.18100 	0.0833  	148.1630
164 	356.92400 	-49.77900 	0.0833  	198.8570
165 	357.11300 	-60.82200 	0.0833  	164.0710
166 	357.34800 	-49.54600 	0.0833  	481.6510
167 	357.89000 	-43.00100 	0.0833  	58.1220
168 	358.29200 	-48.10600 	0.0833  	110.6580
169 	359.01100 	-68.32900 	0.0833  	149.5830
170 	359.33300 	-48.64300 	0.0833  	97.2600
171 	359.46500 	-53.19000 	0.0833  	684.3420
172 	359.50400 	-45.92900 	0.0833  	273.6020
173 	359.69400 	-60.88200 	0.0833  	126.4630
174 	359.83300 	-60.94700 	0.0833  	71.0540
