# README: 
# 
# This list was generated by hand by Tom C. on 5Mar19. The input map was
# Daniel D's 2018 coadd lpf9000_tonly_0.5res.g3. The maps were
# isotropically high-pass filtered (with a filter that would have been
# optimal for a map with CMB, white noise, and Gaussian beams). All
# sources are shown that were detected in any band at at least 10
# sigma. This threshold is roughly 10, 10, and 40 mJy at 90, 150, 220
# GHz. The flux measurements are only accurate to ~10% because we don't
# have proper beam measurements yet.
# 
# All detections are listed here, regardless of robustness. I (TC)
# have visually inspected all detections, and any source that appears to
# be spurious (almost always a filtering wing from a brighter sources)
# has been given the "bad flag" value of 1.
# 
# Sources outside the uniform-coverage region have had their
# signal-to-noise and flux measurements rolled off by the apodization
# mask, so sources near the edges of the map should not be used for
# any flux comparisons to other lists or catalogs.
# 
# This file is not in the format expected by the mask constructor in 3g
# mapmaking. It is intended to be used as a resource to build such
# lists.
# 
# The source finding and flagging was done in IDL on spt.uchicago.edu,
# and the IDL code used is in the tar file in this directory
# initial_source_finding_in_idl_docs.tar.gz.


# RA [deg]  dec [deg]  SN90  S90 [mJy]  SN150  S150 [mJy]  SN220  S220 [mJy]  bad_flag
   7.886   -51.726    41.555    47.503    37.724    46.808       NaN       NaN         0
   7.922   -70.547    13.695    15.655    11.014    13.666       NaN       NaN         0
   8.016   -64.253       NaN       NaN    11.719    14.540    13.418    55.829         0
   8.146   -42.102    11.454    13.094       NaN       NaN       NaN       NaN         0
   8.445   -42.613    46.671    53.351    38.737    48.064       NaN       NaN         0
   8.469   -56.947    30.917    35.343    27.672    34.336       NaN       NaN         0
   8.495   -65.435    10.018    11.451       NaN       NaN       NaN       NaN         0
   8.512   -41.281    34.796    53.474    27.350    45.623       NaN       NaN         0
   8.535   -70.424    20.503    23.438    12.198    15.135       NaN       NaN         0
   8.648   -53.119    10.055    11.495       NaN       NaN       NaN       NaN         0
   8.772   -57.439    18.491    21.138    18.082    22.436       NaN       NaN         0
   9.006   -69.006    19.229    21.981    15.652    19.421       NaN       NaN         0
   9.314   -48.140    26.284    30.046    16.194    20.094       NaN       NaN         0
   9.361   -59.302    22.137    25.306    16.007    19.862       NaN       NaN         0
   9.391   -53.129    31.188    35.653    23.581    29.259       NaN       NaN         0
   9.403   -47.551    12.148    13.887    10.456    12.973       NaN       NaN         0
   9.491   -65.931    12.008    13.727       NaN       NaN       NaN       NaN         0
   9.601   -41.881    11.518    13.167       NaN       NaN       NaN       NaN         0
   9.691   -62.518    35.336    40.394    27.073    33.592       NaN       NaN         0
   9.724   -42.680    11.468    13.109       NaN       NaN       NaN       NaN         0
  10.027   -52.066    12.777    14.606       NaN       NaN       NaN       NaN         0
  10.035   -59.065    45.352    51.844    29.133    36.149       NaN       NaN         0
  10.129   -42.894    26.860    30.705    21.420    26.578       NaN       NaN         0
  10.153   -50.969    11.298    12.915       NaN       NaN       NaN       NaN         0
  10.202   -56.218    12.054    13.780       NaN       NaN       NaN       NaN         0
  10.531   -44.241    27.877    31.867    16.379    20.323       NaN       NaN         0
  10.598   -43.569    48.217    55.119    35.351    43.864       NaN       NaN         0
  10.606   -68.976    18.103    20.694    15.037    18.657       NaN       NaN         0
  10.869   -60.851    16.897    19.315    12.447    15.444       NaN       NaN         0
  11.336   -54.795    16.702    19.093       NaN       NaN       NaN       NaN         0
  11.421   -48.783    33.913    38.768    24.735    30.691       NaN       NaN         0
  11.491   -44.909    11.329    12.950       NaN       NaN       NaN       NaN         0
  11.562   -42.136    94.650   108.198    57.776    71.688    14.664    61.012         0
  11.582   -50.113    14.638    16.733    13.656    16.944       NaN       NaN         0
  11.647   -70.975    23.668    27.056    22.602    28.045       NaN       NaN         0
  11.675   -69.518    19.036    21.761    15.417    19.129       NaN       NaN         0
  11.679   -42.089    10.323    11.801       NaN       NaN       NaN       NaN         1
  11.735   -61.626    16.807    19.212    10.367    12.863       NaN       NaN         0
  11.759   -55.942    11.879    13.579       NaN       NaN       NaN       NaN         0
  11.975   -57.679    10.654    12.180       NaN       NaN       NaN       NaN         1
  12.019   -42.556    10.627    12.149       NaN       NaN       NaN       NaN         0
  12.118   -57.679    13.710    15.672       NaN       NaN       NaN       NaN         1
  12.118   -57.606    11.874    13.574       NaN       NaN       NaN       NaN         1
  12.142   -70.825    12.146    13.885       NaN       NaN       NaN       NaN         1
  12.183   -58.284    11.095    12.684       NaN       NaN       NaN       NaN         0
  12.267   -55.355    49.397    56.468    38.446    47.704       NaN       NaN         0
  12.273   -64.421    10.959    12.528       NaN       NaN       NaN       NaN         0
  12.314   -44.960   110.935   126.814    99.146   123.021    27.070   112.631         0
  12.390   -57.584       NaN       NaN    20.570    25.523       NaN       NaN         1
  12.420   -70.863   152.828   174.703   134.760   167.210    31.206   129.837         0
  12.444   -54.049    14.633    16.728    13.732    17.039       NaN       NaN         0
  12.472   -42.414    11.096    12.684       NaN       NaN       NaN       NaN         1
  12.498   -57.704    32.800    37.495    22.268    27.630       NaN       NaN         1
  12.500   -57.643   499.832   571.378   372.876   462.665    74.505   309.989         0
  12.502   -57.583    32.750    37.438       NaN       NaN       NaN       NaN         1
  12.648   -57.597       NaN       NaN    20.092    24.930       NaN       NaN         1
  12.667   -42.407    20.263    23.163    13.852    17.187       NaN       NaN         1
  12.668   -42.500    21.120    24.143    13.290    16.491       NaN       NaN         1
  12.680   -70.830       NaN       NaN    10.220    12.681       NaN       NaN         1
