# README: 
# 
# This list was generated by hand by Tom C. on 5Mar19. The input map was
# Daniel D's 2018 coadd lpf9000_tonly_0.5res.g3. The maps were
# isotropically high-pass filtered (with a filter that would have been
# optimal for a map with CMB, white noise, and Gaussian beams). All
# sources are shown that were detected in any band at at least 10
# sigma. This threshold is roughly 10, 10, and 40 mJy at 90, 150, 220
# GHz. The flux measurements are only accurate to ~10% because we don't
# have proper beam measurements yet.
# 
# All detections are listed here, regardless of robustness. I (TC)
# have visually inspected all detections, and any source that appears to
# be spurious (almost always a filtering wing from a brighter sources)
# has been given the "bad flag" value of 1.
# 
# Sources outside the uniform-coverage region have had their
# signal-to-noise and flux measurements rolled off by the apodization
# mask, so sources near the edges of the map should not be used for
# any flux comparisons to other lists or catalogs.
# 
# This file is not in the format expected by the mask constructor in 3g
# mapmaking. It is intended to be used as a resource to build such
# lists.
# 
# The source finding and flagging was done in IDL on spt.uchicago.edu,
# and the IDL code used is in the tar file in this directory
# initial_source_finding_in_idl_docs.tar.gz.


# RA [deg]  dec [deg]  SN90  S90 [mJy]  SN150  S150 [mJy]  SN220  S220 [mJy]  bad_flag
  45.913   -45.629    12.937    14.789    11.213    13.913       NaN       NaN         0
  45.963   -62.128    44.276    50.614    30.144    37.403       NaN       NaN         1
  45.963   -64.980   115.520   132.055    90.465   112.249    20.192    84.013         0
  45.966   -62.189   728.447   832.717   578.150   717.370   122.950   511.554         0
  45.969   -62.248    46.885    53.596    32.296    40.073       NaN       NaN         1
  46.055   -54.912    11.299    12.916       NaN       NaN       NaN       NaN         0
  46.090   -70.121    16.356    18.697    12.526    15.542       NaN       NaN         0
  46.117   -43.562    41.927    47.928    28.608    35.497       NaN       NaN         0
  46.135   -49.527    17.276    19.749    13.980    17.346       NaN       NaN         0
  46.218   -65.885    11.188    12.790       NaN       NaN       NaN       NaN         0
  46.237   -68.877       NaN       NaN    10.400    12.904       NaN       NaN         0
  46.283   -46.415    11.976    13.691       NaN       NaN       NaN       NaN         0
  46.380   -62.219       NaN       NaN    12.040    14.939       NaN       NaN         1
  46.393   -62.156       NaN       NaN    13.218    16.401       NaN       NaN         1
  46.492   -62.151    17.297    19.773       NaN       NaN       NaN       NaN         1
  46.493   -62.224    17.192    19.653       NaN       NaN       NaN       NaN         1
  46.561   -55.471    43.085    49.252    32.812    40.713       NaN       NaN         0
  46.647   -65.115    11.230    12.837       NaN       NaN       NaN       NaN         0
  46.704   -43.145    13.181    15.067       NaN       NaN       NaN       NaN         0
  46.729   -48.276    10.594    12.110       NaN       NaN       NaN       NaN         0
  46.764   -57.089    37.039    42.341    29.420    36.504       NaN       NaN         0
  46.764   -66.093    11.751    13.434       NaN       NaN       NaN       NaN         0
  46.842   -60.729    11.137    12.732       NaN       NaN       NaN       NaN         0
  46.887   -61.008       NaN       NaN    11.195    13.890       NaN       NaN         1
  46.888   -48.958    20.601    23.549    13.745    17.054       NaN       NaN         0
  46.896   -60.946       NaN       NaN    10.779    13.375       NaN       NaN         1
  46.910   -47.299    19.403    22.180    16.766    20.803       NaN       NaN         0
  46.941   -61.015    17.192    19.653       NaN       NaN       NaN       NaN         1
  46.966   -60.941    18.490    21.137       NaN       NaN       NaN       NaN         1
  47.069   -60.947       NaN       NaN    12.645    15.690       NaN       NaN         1
  47.077   -61.009       NaN       NaN    15.135    18.780       NaN       NaN         1
  47.336   -59.948    13.749    15.717       NaN       NaN       NaN       NaN         0
  47.486   -61.037    50.247    57.439    38.342    47.575       NaN       NaN         1
  47.488   -60.977   760.924   869.843   671.159   832.775   154.166   641.436         0
  47.489   -60.916    51.322    58.668    36.324    45.071       NaN       NaN         1
  47.545   -57.514    84.665    96.784    57.702    71.596    10.407    43.302         0
  47.564   -51.191    13.722    15.687       NaN       NaN       NaN       NaN         0
  47.679   -56.656    13.409    15.328    12.488    15.495       NaN       NaN         0
  47.892   -60.942       NaN       NaN    14.660    18.190       NaN       NaN         1
  47.929   -61.010       NaN       NaN    15.197    18.856       NaN       NaN         1
  47.976   -56.535    20.195    23.086    13.201    16.379       NaN       NaN         0
  47.989   -62.012    25.863    29.566    23.148    28.722       NaN       NaN         0
  47.999   -65.405    37.457    42.818    37.540    46.579       NaN       NaN         0
  47.999   -60.939    19.918    22.769       NaN       NaN       NaN       NaN         1
  48.005   -61.013    20.642    23.596       NaN       NaN       NaN       NaN         1
  48.024   -55.695    52.103    59.561    37.684    46.758       NaN       NaN         0
  48.041   -62.930    10.880    12.437       NaN       NaN       NaN       NaN         0
  48.083   -61.389    10.033    11.470       NaN       NaN       NaN       NaN         0
  48.118   -60.942       NaN       NaN    10.539    13.076       NaN       NaN         1
  48.285   -60.938    10.487    11.988       NaN       NaN       NaN       NaN         1
  48.381   -65.841    10.263    11.732       NaN       NaN       NaN       NaN         1
  48.385   -65.757    10.912    12.474       NaN       NaN       NaN       NaN         1
  48.556   -68.330    18.106    20.697    15.594    19.350       NaN       NaN         0
  48.598   -65.803   185.774   212.365   160.186   198.759    35.668   148.405         0
  48.601   -51.080    59.065    67.519    51.540    63.951    14.090    58.625         0
  48.618   -48.136    12.908    14.756       NaN       NaN       NaN       NaN         0
  48.819   -65.838    13.399    15.316       NaN       NaN       NaN       NaN         1
  48.826   -65.767    11.061    12.645       NaN       NaN       NaN       NaN         1
  49.157   -43.863    35.275    40.324    24.374    30.244       NaN       NaN         0
  49.269   -58.019    19.602    22.407    14.045    17.427       NaN       NaN         0
  49.272   -52.614    10.114    11.562       NaN       NaN       NaN       NaN         0
  49.390   -45.536    15.265    17.450    14.262    17.696       NaN       NaN         0
  49.429   -55.108    12.290    14.049       NaN       NaN       NaN       NaN         0
  49.485   -44.246    67.751    77.449    52.395    65.012    16.894    70.291         0
  49.552   -66.501       NaN       NaN       NaN       NaN    10.767    44.798         0
  49.588   -53.532    14.766    16.880    10.348    12.840       NaN       NaN         0
  49.618   -66.477       NaN       NaN    14.392    17.857    13.300    55.338         0
  49.629   -56.167    26.326    30.094    22.449    27.854       NaN       NaN         0
  49.741   -56.846    58.916    67.350    41.162    51.073       NaN       NaN         0
  49.785   -50.011    23.423    26.776    19.370    24.034       NaN       NaN         0
  49.804   -67.651    10.313    11.790       NaN       NaN       NaN       NaN         0
  49.901   -71.143    20.491    25.208    14.857    19.838       NaN       NaN         0
  50.088   -64.334    17.984    20.559       NaN       NaN       NaN       NaN         0
  50.103   -44.020    11.316    12.936       NaN       NaN       NaN       NaN         0
  50.117   -65.028    17.151    19.606    11.015    13.667       NaN       NaN         0
  50.159   -70.486    18.254    20.866    15.145    18.791       NaN       NaN         0
  50.226   -68.274    21.225    24.263    17.104    21.222       NaN       NaN         0
  50.234   -45.258    12.032    13.755       NaN       NaN       NaN       NaN         0
  50.360   -45.171    21.953    25.095    11.311    14.035       NaN       NaN         0
  50.466   -58.323    13.833    15.813    14.081    17.471       NaN       NaN         0
  50.528   -52.096    14.644    16.740    11.186    13.880       NaN       NaN         0
  50.533   -53.910    14.943    17.082    10.155    12.601       NaN       NaN         0
  50.548   -50.713    17.223    19.688    13.301    16.505       NaN       NaN         0
  50.567   -63.125    12.482    14.269    11.287    14.005       NaN       NaN         0
  50.682   -59.009    40.132    45.876    30.630    38.006       NaN       NaN         0
  50.698   -65.718    27.913    31.908    24.250    30.089       NaN       NaN         0
  50.789   -60.441    58.689    67.090    46.436    57.618    10.602    44.110         0
  50.858   -52.446    30.537    34.908    25.745    31.944       NaN       NaN         0
  51.019   -55.349    52.910    60.484    31.584    39.189       NaN       NaN         0
  51.253   -49.457    17.474    21.282    13.467    17.802       NaN       NaN         0
  51.345   -56.489    25.342    28.969    19.143    23.752       NaN       NaN         0
  51.349   -56.596    25.300    28.921    23.248    28.846       NaN       NaN         0
  51.457   -48.796    11.297    15.866       NaN       NaN       NaN       NaN         0
  51.467   -67.361    31.517    36.029    25.245    31.324       NaN       NaN         0
  51.684   -62.401    12.589    14.829    11.941    15.268       NaN       NaN         0
  51.705   -53.619    22.554    34.126    17.895    29.390       NaN       NaN         0
  52.666   -68.663    10.692    15.973       NaN       NaN       NaN       NaN         0
 306.591   -70.156    14.942    20.892    10.140    15.389       NaN       NaN         1
 306.598   -70.073    14.578    20.515    10.280    15.703       NaN       NaN         1
 306.868   -70.115   207.416   269.055   180.540   254.199    40.491   191.169         0
 307.129   -70.070    14.871    18.012    11.982    15.752       NaN       NaN         1
 307.142   -70.154    17.233    20.876    14.373    18.898       NaN       NaN         1
 308.117   -58.304    29.781    34.044    24.160    29.977       NaN       NaN         0
 308.306   -44.597    19.434    27.823    18.658    28.994       NaN       NaN         0
 308.328   -53.264    20.288    25.319    15.647    21.195       NaN       NaN         0
 308.706   -68.812    20.511    23.447    12.338    15.309       NaN       NaN         1
 308.729   -68.724    21.085    24.103    12.565    15.590       NaN       NaN         1
 308.843   -49.973    44.456    50.820    29.750    36.914       NaN       NaN         0
 308.858   -68.863    10.102    11.548       NaN       NaN       NaN       NaN         1
 308.909   -45.058    16.177    18.648    10.301    12.889       NaN       NaN         0
 308.933   -69.728    15.156    17.325       NaN       NaN       NaN       NaN         0
 308.965   -68.770   296.646   339.108   221.031   274.256    46.798   194.712         0
 308.971   -66.033    37.758    43.162    27.705    34.377       NaN       NaN         0
 309.000   -68.675    12.222    13.971       NaN       NaN       NaN       NaN         1
 309.016   -53.353    17.201    19.663    14.596    18.111       NaN       NaN         0
 309.049   -44.134    28.864    32.996    18.259    22.656       NaN       NaN         0
 309.085   -68.856    10.201    11.661       NaN       NaN       NaN       NaN         1
 309.110   -45.708    13.966    15.965    15.052    18.677       NaN       NaN         0
 309.214   -68.814    19.318    22.083    13.060    16.205       NaN       NaN         1
 309.214   -68.728    20.197    23.088    12.507    15.519       NaN       NaN         1
 309.275   -42.406    44.153    50.473    35.309    43.811       NaN       NaN         0
 309.388   -65.219       NaN       NaN    11.102    13.776    10.224    42.540         0
 309.658   -44.489    14.515    16.593    13.998    17.369       NaN       NaN         0
 309.796   -59.282    11.010    12.586       NaN       NaN       NaN       NaN         0
 309.934   -58.362    12.155    13.894       NaN       NaN       NaN       NaN         0
 309.945   -50.024    42.035    48.052    36.641    45.465    11.051    45.979         0
 309.949   -46.107    21.845    24.972    18.348    22.766       NaN       NaN         0
 310.006   -57.589    98.477   112.573    71.790    89.077    13.997    58.235         0
 310.027   -64.551    13.415    15.335    12.376    15.356       NaN       NaN         0
 310.037   -47.763    13.225    15.118    11.715    14.536       NaN       NaN         0
 310.054   -71.240    11.668    15.627     8.661    12.591       NaN       NaN         0
 310.291   -52.961    12.187    13.931    10.173    12.623       NaN       NaN         0
 310.302   -52.185    18.571    21.229    12.129    15.050       NaN       NaN         0
 310.305   -61.664    10.493    11.995       NaN       NaN       NaN       NaN         0
 310.339   -62.236    12.848    14.688       NaN       NaN       NaN       NaN         0
 310.500   -70.830    22.686    25.933    19.556    24.265       NaN       NaN         0
 310.801   -51.075    11.915    13.621       NaN       NaN       NaN       NaN         0
 310.823   -62.933    72.665    83.066    48.635    60.347       NaN       NaN         0
 310.873   -62.571    13.353    15.264       NaN       NaN       NaN       NaN         0
 310.965   -66.050    16.062    18.361    10.503    13.032       NaN       NaN         0
 311.227   -54.935    25.591    29.254    16.760    20.795       NaN       NaN         0
 311.270   -53.353    13.658    15.613    12.778    15.855       NaN       NaN         0
 311.350   -63.005    17.945    20.514    11.523    14.298       NaN       NaN         0
 311.411   -55.436    38.663    44.197    35.392    43.914       NaN       NaN         0
 311.440   -61.550    23.445    26.801    16.531    20.512       NaN       NaN         0
 311.461   -51.110    27.477    31.410    20.137    24.986       NaN       NaN         0
 311.589   -61.273       NaN       NaN    10.341    12.831       NaN       NaN         0
 311.716   -65.453    29.352    33.554    20.141    24.991       NaN       NaN         0
 311.800   -45.984    13.186    15.073    10.120    12.557       NaN       NaN         0
 311.878   -48.035    11.611    13.273       NaN       NaN       NaN       NaN         0
 312.102   -52.703    42.138    48.169    32.932    40.862       NaN       NaN         0
 312.109   -68.076    43.986    50.282    37.210    46.170    11.623    48.361         0
 312.130   -58.708    41.390    47.315    37.918    47.049       NaN       NaN         0
 312.241   -45.733    23.892    27.311    21.212    26.320       NaN       NaN         0
 312.367   -46.479    15.716    17.966    12.359    15.334       NaN       NaN         0
 312.528   -42.530    15.376    17.577    11.304    14.026       NaN       NaN         0
 312.535   -47.250    10.247    11.714       NaN       NaN       NaN       NaN         1
 312.544   -49.460    34.352    39.269    24.310    30.163       NaN       NaN         0
 312.651   -47.251    10.426    11.918       NaN       NaN       NaN       NaN         1
 312.652   -45.728    22.708    25.958    18.241    22.633       NaN       NaN         0
 312.768   -47.250    11.916    13.622       NaN       NaN       NaN       NaN         1
 312.798   -45.446    69.803    79.794    61.856    76.751    15.952    66.370         0
 312.981   -70.165    11.865    13.563    10.454    12.971       NaN       NaN         0
 313.013   -57.071    28.455    32.528    22.052    27.362       NaN       NaN         0
 313.019   -69.193       NaN       NaN    11.282    13.998    12.450    51.799         0
 313.029   -52.800    11.135    12.729       NaN       NaN       NaN       NaN         0
 313.031   -65.384    60.797    69.500    37.647    46.712       NaN       NaN         0
 313.053   -55.555    56.609    64.712    41.048    50.932    10.233    42.575         0
 313.064   -43.982    13.083    14.956       NaN       NaN       NaN       NaN         0
 313.279   -62.929    73.052    83.508    52.374    64.985       NaN       NaN         0
 313.331   -47.288    10.754    12.294       NaN       NaN       NaN       NaN         1
 313.446   -43.330    10.900    12.460       NaN       NaN       NaN       NaN         0
 313.502   -42.720    20.222    23.117    14.343    17.797       NaN       NaN         0
 313.704   -54.661    59.805    68.366    44.028    54.630       NaN       NaN         0
 313.745   -47.504    17.035    19.473    15.195    18.854       NaN       NaN         0
 313.991   -47.200       NaN       NaN    56.172    69.698       NaN       NaN         1
 314.048   -49.073    14.112    16.132    12.317    15.283       NaN       NaN         0
 314.061   -47.199    78.278    89.483       NaN       NaN       NaN       NaN         1
 314.064   -47.253  1202.456  1374.576  1017.314  1262.285   244.058  1015.445         0
 314.073   -47.307    76.381    87.315    54.737    67.918       NaN       NaN         1
 314.129   -58.338   114.710   131.130    77.189    95.776    14.729    61.283         0
 314.205   -68.373    11.186    12.787       NaN       NaN       NaN       NaN         0
 314.302   -49.028    38.525    44.040    28.257    35.061       NaN       NaN         0
 314.408   -57.011    66.990    76.579    53.227    66.044    11.688    48.630         0
 314.444   -47.220       NaN       NaN    21.518    26.700       NaN       NaN         1
 314.481   -66.485    32.077    36.669    26.030    32.299       NaN       NaN         0
 314.536   -48.637    12.684    14.500    14.453    17.933       NaN       NaN         0
 314.543   -44.203    25.632    29.301    21.781    27.026       NaN       NaN         0
 314.656   -57.946    38.649    44.181    31.806    39.464       NaN       NaN         0
 314.798   -67.751    38.801    44.356    29.906    37.107       NaN       NaN         0
 315.292   -44.860    47.573    54.383    41.009    50.883    11.270    46.891         0
 315.306   -61.836    15.325    17.519    12.090    15.002       NaN       NaN         0
 315.348   -47.252    13.158    15.041       NaN       NaN       NaN       NaN         1
 315.472   -47.255    11.849    13.545       NaN       NaN       NaN       NaN         1
 315.489   -42.331    41.432    47.363    34.194    42.428       NaN       NaN         0
 315.644   -53.388    10.083    11.526       NaN       NaN       NaN       NaN         0
 315.857   -43.950    14.617    16.709    11.421    14.171       NaN       NaN         0
 315.870   -65.335    21.688    24.792    18.046    22.392       NaN       NaN         0
 315.906   -49.831    13.567    15.509       NaN       NaN       NaN       NaN         0
 315.914   -68.197    25.705    29.384    22.955    28.482       NaN       NaN         0
 315.915   -62.540    49.789    56.915    44.603    55.343    11.688    48.628         0
 316.021   -51.953    46.501    53.157    33.905    42.070       NaN       NaN         0
 316.059   -45.797    13.611    15.559       NaN       NaN       NaN       NaN         0
 316.249   -48.819   139.143   159.060    97.783   121.329    20.940    87.124         0
 316.347   -51.767    19.037    21.762    12.167    15.096       NaN       NaN         0
 316.414   -54.228    19.491    22.281    13.992    17.361       NaN       NaN         0
 316.454   -46.347    13.459    15.385    10.325    12.812       NaN       NaN         0
 316.530   -71.365    18.205    28.598    11.742    20.022       NaN       NaN         0
 316.569   -58.052    34.312    39.223    31.198    38.710       NaN       NaN         0
 316.653   -63.714    11.078    12.663       NaN       NaN       NaN       NaN         0
 316.746   -55.985    24.519    28.029    19.308    23.958       NaN       NaN         0
 316.754   -65.792    75.450    86.250    50.476    62.631       NaN       NaN         0
 316.756   -50.206    17.659    20.186    14.468    17.953       NaN       NaN         0
 316.842   -41.772    13.550    15.490    10.767    13.360       NaN       NaN         0
 316.901   -51.539    14.937    17.075       NaN       NaN       NaN       NaN         0
 316.930   -48.471    19.119    21.856    17.961    22.286       NaN       NaN         0
 316.996   -62.268    27.849    31.836    25.073    31.111       NaN       NaN         0
 317.206   -48.777    64.284    73.485    42.393    52.601    10.402    43.281         0
 317.222   -66.619   124.089   141.852   107.310   133.151    27.946   116.273         0
 317.382   -41.181    68.718   115.468    50.502    92.110    12.495    76.417         0
 317.457   -66.657    11.936    13.645       NaN       NaN       NaN       NaN         1
 317.493   -48.042    23.544    26.914    14.380    17.842       NaN       NaN         0
 317.551   -59.331    12.810    14.643       NaN       NaN       NaN       NaN         0
 317.655   -63.416    12.210    13.958       NaN       NaN       NaN       NaN         0
 317.795   -55.138    19.143    21.883    13.221    16.405       NaN       NaN         0
 318.068   -44.212    28.637    32.736    23.883    29.635       NaN       NaN         0
 318.093   -44.898    13.811    15.788    10.360    12.855       NaN       NaN         0
 318.234   -48.301    22.771    26.031    20.053    24.882       NaN       NaN         0
 318.368   -61.592    13.659    15.614       NaN       NaN       NaN       NaN         0
 318.452   -59.302    54.032    61.766    39.205    48.646       NaN       NaN         0
 318.566   -68.845    40.753    46.586    28.122    34.894       NaN       NaN         0
 318.706   -61.952    25.685    29.362    21.480    26.653       NaN       NaN         0
 318.890   -60.877    10.399    11.887       NaN       NaN       NaN       NaN         0
 318.982   -42.174    10.501    12.005    10.149    12.592       NaN       NaN         0
 319.120   -55.457    33.284    38.049    18.557    23.025       NaN       NaN         0
 319.300   -58.404    28.034    32.047    25.176    31.238       NaN       NaN         0
 319.341   -55.087    34.840    39.827    25.720    31.914       NaN       NaN         0
 319.636   -44.564    24.984    28.560    17.460    21.665       NaN       NaN         0
 319.695   -42.527    13.690    15.650    10.742    13.328       NaN       NaN         0
 319.901   -45.760   120.112   137.305   103.313   128.190    26.474   110.150         0
 320.032   -62.031    11.562    13.217       NaN       NaN       NaN       NaN         0
 320.056   -41.620    10.902    12.704       NaN       NaN       NaN       NaN         0
 320.074   -61.224    10.589    12.105       NaN       NaN       NaN       NaN         1
 320.082   -61.148    11.018    12.595       NaN       NaN       NaN       NaN         1
 320.103   -51.055    13.978    15.978       NaN       NaN       NaN       NaN         0
 320.271   -61.190   144.838   165.570   114.383   141.927    23.945    99.627         0
 320.481   -61.153    10.550    12.060       NaN       NaN       NaN       NaN         1
 320.482   -61.218    10.631    12.152       NaN       NaN       NaN       NaN         1
 320.484   -64.072    18.744    21.427       NaN       NaN       NaN       NaN         0
 320.594   -56.006    29.044    33.202    24.776    30.742       NaN       NaN         0
 320.600   -49.676    18.478    21.123    13.976    17.342       NaN       NaN         0
 320.806   -45.779       NaN       NaN       NaN       NaN    11.795    49.076         0
 320.871   -68.947    12.256    14.010    11.680    14.493       NaN       NaN         0
 320.942   -47.229    32.460    37.106    29.610    36.740       NaN       NaN         0
 320.999   -52.795    25.141    28.740    18.112    22.473       NaN       NaN         0
 321.018   -60.469    16.010    18.301    10.205    12.662       NaN       NaN         0
 321.114   -49.806    57.441    65.663    40.165    49.836    10.406    43.294         0
 321.295   -69.959    14.692    16.795    10.252    12.720       NaN       NaN         0
 321.489   -46.064    12.897    14.744       NaN       NaN       NaN       NaN         1
 321.497   -46.138    10.199    11.658       NaN       NaN       NaN       NaN         1
 321.556   -55.354    15.991    18.280       NaN       NaN       NaN       NaN         0
 321.614   -53.820    11.915    13.620       NaN       NaN       NaN       NaN         0
 321.623   -46.103   168.867   193.039   128.589   159.554    28.980   120.576         0
 321.683   -59.037    36.714    41.969    28.734    35.654       NaN       NaN         0
 321.757   -46.140    11.440    13.078       NaN       NaN       NaN       NaN         1
 321.846   -60.014       NaN       NaN    10.078    12.505    12.470    51.883         0
 321.939   -57.760    39.886    45.595    34.753    43.122    10.319    42.932         0
 321.946   -47.430    22.240    25.423    17.430    21.627       NaN       NaN         0
 321.994   -43.139    14.073    16.087    11.569    14.355       NaN       NaN         0
 321.996   -59.702    36.940    42.228    27.486    34.105       NaN       NaN         0
 322.284   -63.360    12.032    13.754       NaN       NaN       NaN       NaN         0
 322.292   -45.980    19.928    22.781    17.113    21.234       NaN       NaN         0
 322.366   -48.010    22.441    25.654    18.971    23.539       NaN       NaN         0
 322.375   -41.798    12.295    14.055       NaN       NaN       NaN       NaN         0
 322.383   -41.505    13.962    17.424       NaN       NaN       NaN       NaN         0
 322.535   -48.341    11.324    12.945       NaN       NaN       NaN       NaN         0
 322.712   -45.269    47.111    53.855    32.368    40.163       NaN       NaN         0
 322.817   -58.999    18.094    20.684    14.697    18.236       NaN       NaN         0
 322.851   -52.031    12.562    14.360       NaN       NaN       NaN       NaN         0
 323.029   -54.345    38.030    43.474    29.167    36.190       NaN       NaN         0
 323.110   -45.634    20.995    24.000    15.697    19.477       NaN       NaN         0
 323.391   -41.974    20.361    23.276    17.137    21.263       NaN       NaN         0
 323.496   -42.322    17.948    20.517    10.859    13.474       NaN       NaN         0
 323.525   -53.578    11.221    12.827       NaN       NaN       NaN       NaN         0
 323.559   -65.224   120.453   137.695   105.666   131.111    24.765   103.038         0
 323.815   -70.732    24.647    28.175    18.778    23.299       NaN       NaN         0
 323.826   -50.119    68.751    78.592    47.573    59.029    12.046    50.122         0
 323.844   -60.645    10.963    12.532       NaN       NaN       NaN       NaN         0
 323.849   -42.260    12.837    14.675       NaN       NaN       NaN       NaN         0
 323.940   -63.903       NaN       NaN    11.402    14.148    16.391    68.198         0
 323.972   -68.803    35.698    40.807    24.999    31.018       NaN       NaN         0
 324.012   -49.927    17.705    20.239    14.485    17.974       NaN       NaN         0
 324.039   -60.683    12.002    13.720       NaN       NaN       NaN       NaN         0
 324.065   -50.306    15.817    18.081    14.299    17.742       NaN       NaN         0
 324.097   -63.595    38.557    44.076    26.048    32.320       NaN       NaN         0
 324.116   -54.560       NaN       NaN    17.311    21.479    20.628    85.826         0
 324.258   -61.329    18.593    21.254    20.309    25.200       NaN       NaN         0
 324.289   -51.398    10.758    12.298       NaN       NaN       NaN       NaN         0
 324.501   -46.784    36.537    41.767    22.759    28.239       NaN       NaN         0
 324.601   -49.521    13.748    15.716    11.314    14.039       NaN       NaN         0
 324.750   -47.525    11.798    13.487       NaN       NaN       NaN       NaN         0
 324.810   -67.532    15.138    17.305    11.176    13.867       NaN       NaN         0
 324.845   -42.597    67.222    76.844    64.772    80.369    19.298    80.295         0
 324.861   -42.134    10.459    11.956       NaN       NaN       NaN       NaN         0
 325.259   -61.494    18.582    21.242    15.511    19.246       NaN       NaN         0
 325.272   -64.140       NaN       NaN    14.384    17.848       NaN       NaN         1
 325.288   -64.246    24.296    27.774    16.026    19.885       NaN       NaN         1
 325.306   -71.169    12.161    14.773    10.216    13.470       NaN       NaN         0
 325.318   -55.860    25.007    28.586    17.671    21.927       NaN       NaN         0
 325.333   -55.078    22.856    26.128    17.175    21.311       NaN       NaN         0
 325.439   -64.128    23.290    26.624       NaN       NaN       NaN       NaN         1
 325.446   -64.185   339.607   388.218   286.576   355.584    67.511   280.891         0
 325.631   -64.142       NaN       NaN    16.129    20.013       NaN       NaN         1
 325.643   -64.233    23.411    26.762    16.858    20.917       NaN       NaN         1
 325.768   -62.530    24.698    28.234    18.718    23.226       NaN       NaN         0
 325.882   -43.221    19.536    22.332    12.392    15.376       NaN       NaN         0
 325.942   -64.222    10.041    11.479       NaN       NaN       NaN       NaN         1
 326.015   -41.639    13.257    15.399       NaN       NaN       NaN       NaN         0
 326.211   -69.775    51.032    58.337    45.691    56.693    10.322    42.946         0
 326.236   -51.839    16.048    18.346    10.258    12.729       NaN       NaN         0
 326.491   -46.913    18.756    21.441    13.574    16.843       NaN       NaN         0
 326.932   -55.442    48.710    55.682    36.739    45.586       NaN       NaN         0
 326.946   -57.813    11.486    13.130       NaN       NaN       NaN       NaN         0
 326.984   -51.688    10.351    11.832       NaN       NaN       NaN       NaN         0
 327.076   -67.758    11.133    12.727       NaN       NaN       NaN       NaN         0
 327.103   -57.235    18.318    20.940    14.238    17.667       NaN       NaN         0
 327.172   -68.378    12.067    13.794       NaN       NaN       NaN       NaN         0
 327.368   -64.485    17.875    20.434    14.620    18.141       NaN       NaN         0
 327.455   -65.072    18.798    21.489    11.281    13.998       NaN       NaN         0
 327.546   -65.541    19.383    22.157    16.285    20.206       NaN       NaN         0
 327.550   -50.454    10.880    12.437       NaN       NaN       NaN       NaN         0
 327.564   -68.042    86.008    98.319    63.840    79.212    12.923    53.770         0
 327.758   -64.150    32.140    36.740    25.401    31.518       NaN       NaN         0
 327.763   -57.688    10.448    11.943       NaN       NaN       NaN       NaN         0
 327.836   -42.569    22.849    26.119    17.509    21.725       NaN       NaN         0
 327.862   -55.345    24.694    28.229    19.030    23.613       NaN       NaN         0
 327.925   -69.719    10.442    11.936       NaN       NaN       NaN       NaN         1
 327.976   -53.281    25.604    29.269    19.804    24.573       NaN       NaN         0
 328.169   -69.646       NaN       NaN    10.027    12.441       NaN       NaN         1
 328.213   -48.938    12.061    13.788       NaN       NaN       NaN       NaN         0
 328.274   -69.715       NaN       NaN    12.202    15.141       NaN       NaN         1
 328.417   -69.650       NaN       NaN    12.441    15.436       NaN       NaN         1
 328.479   -69.644    23.350    26.692       NaN       NaN       NaN       NaN         1
 328.526   -51.842    24.682    28.215    13.148    16.314       NaN       NaN         0
 328.586   -45.884    21.857    24.985    17.803    22.091       NaN       NaN         0
 328.591   -69.389    19.311    22.075    11.185    13.879       NaN       NaN         0
 328.657   -69.718       NaN       NaN    18.429    22.867       NaN       NaN         1
 328.687   -69.648       NaN       NaN    15.383    19.088       NaN       NaN         1
 328.689   -57.431    27.582    31.530    17.974    22.302       NaN       NaN         0
 328.729   -51.732    10.083    11.527       NaN       NaN       NaN       NaN         0
 328.745   -59.510    18.335    20.960    10.350    12.842       NaN       NaN         0
 328.924   -54.009    33.167    37.915    27.357    33.944       NaN       NaN         0
 328.974   -53.473    18.274    20.889    15.050    18.675       NaN       NaN         0
 329.267   -46.683    17.643    20.169    12.504    15.515       NaN       NaN         0
 329.282   -69.626       NaN       NaN    43.914    54.489       NaN       NaN         1
 329.289   -69.683   974.967  1114.524   752.784   934.056   168.343   700.421         0
 329.291   -69.739    65.895    75.328    42.528    52.768       NaN       NaN         1
 329.383   -70.760    10.415    11.905       NaN       NaN       NaN       NaN         0
 329.413   -69.625    65.155    74.481       NaN       NaN       NaN       NaN         1
 329.430   -46.073    14.769    16.883    10.256    12.726       NaN       NaN         0
 329.460   -64.045    23.229    26.553    15.267    18.943       NaN       NaN         0
 329.662   -47.332    12.989    14.848       NaN       NaN       NaN       NaN         0
 329.740   -51.266    10.067    11.508       NaN       NaN       NaN       NaN         0
 329.826   -46.033    39.118    44.718    27.785    34.475       NaN       NaN         0
 329.945   -69.650       NaN       NaN    16.594    20.590       NaN       NaN         1
 329.957   -45.065    21.067    24.083    17.004    21.099       NaN       NaN         0
 329.971   -69.719       NaN       NaN    14.909    18.499       NaN       NaN         1
 329.973   -62.090    51.889    59.316    45.114    55.978    10.127    42.136         0
 329.992   -47.872    49.734    56.853    40.304    50.010    10.174    42.329         0
 330.015   -54.930    63.843    72.982    47.361    58.766    11.368    47.298         0
 330.100   -56.180    15.726    17.977    12.560    15.584       NaN       NaN         0
 330.223   -55.337   131.362   150.166   106.004   131.529    26.022   108.268         0
